Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
BAC,Bank of America Corp,"1,103,006","548,190","1,651,196",19,"86,905","58,053","28,852",,
AAPL,Apple Inc,"856,501","523,676","1,380,177",19,"72,641","45,079","27,562",,
FB,Facebook Inc,"535,893","347,906","883,799",19,"46,516","28,205","18,311",,
TSLA,Tesla Inc,"385,466","356,091","741,557",19,"39,029","20,288","18,742",,
AMZN,Amazon.com Inc,"307,267","309,593","616,860",19,"32,466","16,172","16,294",,
NFLX,Netflix Inc,"280,135","260,701","540,836",19,"28,465","14,744","13,721",,
NVDA,NVIDIA Corp,"278,798","210,006","488,804",19,"25,727","14,674","11,053",,
MSFT,Microsoft Corp,"266,842","198,957","465,799",19,"24,516","14,044","10,471",,
AMD,Advanced Micro Devices Inc,"306,060","150,743","456,803",19,"24,042","16,108","7,934",,
X,United States Steel Corp,"238,194","171,554","409,748",19,"21,566","12,537","9,029",,
BABA,Alibaba Group Holding Ltd,"267,806","129,389","397,195",19,"20,905","14,095","6,810",,
JPM,JPMorgan Chase & Co,"191,227","151,755","342,982",19,"18,052","10,065","7,987",,
MU,Micron Technology Inc,"253,051","87,605","340,656",19,"17,929","13,318","4,611",,
C,Citigroup Inc,"210,087","103,353","313,440",19,"16,497","11,057","5,440",,
TWTR,Twitter Inc,"200,669","90,569","291,238",19,"15,328","10,562","4,767",,
T,AT&T Inc,"127,256","136,541","263,797",19,"13,884","6,698","7,186",,
WFC,Wells Fargo & Co,"130,066","123,543","253,609",19,"13,348","6,846","6,502",,
FCX,Freeport-McMoRan Inc,"119,833","126,696","246,529",19,"12,975","6,307","6,668",,
INTC,Intel Corp,"155,762","80,118","235,880",19,"12,415","8,198","4,217",,
F,Ford Motor Co,"112,987","86,565","199,552",19,"10,503","5,947","4,556",,
GS,Goldman Sachs Group Inc/The,"103,167","96,096","199,263",19,"10,488","5,430","5,058",,
CHK,Chesapeake Energy Corp,"135,416","56,170","191,586",19,"10,083","7,127","2,956",,
GE,General Electric Co,"102,155","78,655","180,810",19,"9,516","5,377","4,140",,
QCOM,QUALCOMM Inc,"90,757","84,211","174,968",19,"9,209","4,777","4,432",,
SBUX,Starbucks Corp,"100,928","68,211","169,139",19,"8,902","5,312","3,590",,
VZ,Verizon Communications Inc,"119,113","47,784","166,897",19,"8,784","6,269","2,515",,
VRX,Valeant Pharmaceuticals International Inc,"97,804","68,341","166,145",19,"8,744","5,148","3,597",,
V,Visa Inc,"106,384","57,099","163,483",19,"8,604","5,599","3,005",,
XOM,Exxon Mobil Corp,"83,648","71,078","154,726",19,"8,143","4,403","3,741",,
WFT,Weatherford International PLC,"135,346","17,385","152,731",19,"8,038","7,123",915,,
IBM,International Business Machines Corp,"75,145","71,385","146,530",19,"7,712","3,955","3,757",,
CAT,Caterpillar Inc,"70,618","73,150","143,768",19,"7,567","3,717","3,850",,
DIS,Walt Disney Co/The,"72,786","67,907","140,693",19,"7,405","3,831","3,574",,
GOOGL,Alphabet Inc,"75,625","62,142","137,767",19,"7,251","3,980","3,271",,
GM,General Motors Co,"85,342","51,112","136,454",19,"7,182","4,492","2,690",,
CSCO,Cisco Systems Inc,"84,740","51,618","136,358",19,"7,177","4,460","2,717",,
DAL,Delta Air Lines Inc,"78,493","48,565","127,058",19,"6,687","4,131","2,556",,
SNAP,Snap Inc,"80,478","45,733","126,211",19,"6,643","4,236","2,407",,
JCP,JC Penney Co Inc,"67,483","56,904","124,387",19,"6,547","3,552","2,995",,
CLF,Cliffs Natural Resources Inc,"92,927","28,919","121,846",19,"6,413","4,891","1,522",,
GILD,Gilead Sciences Inc,"81,582","37,997","119,579",19,"6,294","4,294","2,000",,
ABX,Barrick Gold Corp,"78,657","40,709","119,366",19,"6,282","4,140","2,143",,
RAD,Rite Aid Corp,"74,600","44,170","118,770",19,"6,251","3,926","2,325",,
EBAY,eBay Inc,"84,535","30,759","115,294",19,"6,068","4,449","1,619",,
AAL,American Airlines Group Inc,"76,736","38,557","115,293",19,"6,068","4,039","2,029",,
CMG,Chipotle Mexican Grill Inc,"55,464","54,972","110,436",19,"5,812","2,919","2,893",,
