Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
TROX,Tronox Ltd,"1,663",81,"1,744",20,87,83,4,,
SGEN,Seattle Genetics Inc,"1,281",462,"1,743",20,87,64,23,,
PAYC,Paycom Software Inc,995,743,"1,738",20,87,50,37,,
IDCC,InterDigital Inc/PA,999,736,"1,735",20,87,50,37,,
PLX,Protalix BioTherapeutics Inc,"1,735",0,"1,735",20,87,87,0,,
CPRX,Catalyst Pharmaceuticals Inc,"1,077",654,"1,731",20,87,54,33,,
FMC,FMC Corp,588,"1,138","1,726",20,86,29,57,,
CRBP,Corbus Pharmaceuticals Holdings Inc,"1,417",306,"1,723",20,86,71,15,,
XPER,Xperi Corp,618,"1,100","1,718",20,86,31,55,,
ACIW,ACI Worldwide Inc,"1,716",1,"1,717",20,86,86,0,,
GIMO,Gigamon Inc,"1,060",653,"1,713",20,86,53,33,,
NQ,NQ Mobile Inc,"1,180",526,"1,706",20,85,59,26,,
LOXO,Loxo Oncology Inc,920,777,"1,697",20,85,46,39,,
DNR,Denbury Resources Inc,"1,290",403,"1,693",20,85,65,20,,
EXPD,Expeditors International of Washington Inc,"1,443",245,"1,688",20,84,72,12,,
CLX,Clorox Co/The,904,784,"1,688",20,84,45,39,,
QSR,Restaurant Brands International Inc,"1,383",299,"1,682",20,84,69,15,,
GOLD,Randgold Resources Ltd,"1,207",475,"1,682",20,84,60,24,,
ASNA,Ascena Retail Group Inc,"1,275",405,"1,680",20,84,64,20,,
DBD,Diebold Nixdorf Inc,966,709,"1,675",20,84,48,35,,
GBX,Greenbrier Cos Inc/The,825,848,"1,673",20,84,41,42,,
CONN,Conn's Inc,"1,172",500,"1,672",20,84,59,25,,
EIX,Edison International,"1,604",66,"1,670",20,84,80,3,,
MELI,MercadoLibre Inc,893,774,"1,667",20,83,45,39,,
USCR,US Concrete Inc,426,"1,241","1,667",20,83,21,62,,
LN,LINE Corp,"1,289",377,"1,666",20,83,64,19,,
GMED,Globus Medical Inc,"1,313",352,"1,665",20,83,66,18,,
AMAG,AMAG Pharmaceuticals Inc,617,"1,046","1,663",20,83,31,52,,
NUVA,NuVasive Inc,837,823,"1,660",20,83,42,41,,
DVA,DaVita Inc,962,697,"1,659",20,83,48,35,,
TRP,TransCanada Corp,"1,504",154,"1,658",20,83,75,8,,
VUZI,Vuzix Corp,"1,216",440,"1,656",20,83,61,22,,
FIVN,Five9 Inc,"1,609",46,"1,655",20,83,80,2,,
OC,Owens Corning,"1,069",580,"1,649",20,82,53,29,,
ONCE,Spark Therapeutics Inc,"1,238",409,"1,647",20,82,62,20,,
ENB,Enbridge Inc,824,820,"1,644",20,82,41,41,,
UNM,Unum Group,"1,624",18,"1,642",20,82,81,1,,
HMY,Harmony Gold Mining Co Ltd,"1,571",69,"1,640",20,82,79,3,,
VOYA,Voya Financial Inc,"1,284",354,"1,638",20,82,64,18,,
CE,Celanese Corp,"1,131",505,"1,636",20,82,57,25,,
MAN,ManpowerGroup Inc,437,"1,199","1,636",20,82,22,60,,
CAMP,CalAmp Corp,"1,444",188,"1,632",20,82,72,9,,
ED,Consolidated Edison Inc,809,821,"1,630",20,82,40,41,,
