Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
FCX,Freeport-McMoRan Inc,"126,229","53,323","179,552",20,"8,978","6,311","2,666",,
S,Sprint Corp,"62,285","113,628","175,913",20,"8,796","3,114","5,681",,
WFC,Wells Fargo & Co,"109,711","65,814","175,525",20,"8,776","5,486","3,291",,
TWTR,Twitter Inc,"132,339","38,769","171,108",20,"8,555","6,617","1,938",,
TEVA,Teva Pharmaceutical Industries Ltd,"100,229","69,339","169,568",20,"8,478","5,011","3,467",,
NKE,NIKE Inc,"77,978","77,487","155,465",20,"7,773","3,899","3,874",,
DIS,Walt Disney Co/The,"74,554","80,778","155,332",20,"7,767","3,728","4,039",,
XOM,Exxon Mobil Corp,"108,842","46,147","154,989",20,"7,749","5,442","2,307",,
JD,JD.com Inc,"93,316","61,267","154,583",20,"7,729","4,666","3,063",,
CSCO,Cisco Systems Inc,"102,561","42,057","144,618",20,"7,231","5,128","2,103",,
VZ,Verizon Communications Inc,"104,671","37,753","142,424",20,"7,121","5,234","1,888",,
GS,Goldman Sachs Group Inc/The,"87,559","54,445","142,004",20,"7,100","4,378","2,722",,
QCOM,QUALCOMM Inc,"76,821","60,588","137,409",20,"6,870","3,841","3,029",,
CHK,Chesapeake Energy Corp,"98,744","38,015","136,759",20,"6,838","4,937","1,901",,
BA,Boeing Co/The,"72,372","64,108","136,480",20,"6,824","3,619","3,205",,
VRX,Valeant Pharmaceuticals International Inc,"90,951","43,824","134,775",20,"6,739","4,548","2,191",,
GM,General Motors Co,"92,801","41,271","134,072",20,"6,704","4,640","2,064",,
GOOGL,Alphabet Inc,"73,915","55,936","129,851",20,"6,493","3,696","2,797",,
KR,Kroger Co/The,"58,104","68,477","126,581",20,"6,329","2,905","3,424",,
RAD,Rite Aid Corp,"97,080","23,139","120,219",20,"6,011","4,854","1,157",,
PFE,Pfizer Inc,"91,347","25,670","117,017",20,"5,851","4,567","1,284",,
WMT,Wal-Mart Stores Inc,"57,660","57,127","114,787",20,"5,739","2,883","2,856",,
BIDU,Baidu Inc,"69,590","44,339","113,929",20,"5,696","3,480","2,217",,
SBUX,Starbucks Corp,"71,699","42,223","113,922",20,"5,696","3,585","2,111",,
AMAT,Applied Materials Inc,"72,415","40,553","112,968",20,"5,648","3,621","2,028",,
CMCSA,Comcast Corp,"64,814","41,573","106,387",20,"5,319","3,241","2,079",,
CMG,Chipotle Mexican Grill Inc,"52,167","52,965","105,132",20,"5,257","2,608","2,648",,
KO,Coca-Cola Co/The,"85,989","17,355","103,344",20,"5,167","4,299",868,,
BMY,Bristol-Myers Squibb Co,"79,108","24,151","103,259",20,"5,163","3,955","1,208",,
ABX,Barrick Gold Corp,"69,859","32,294","102,153",20,"5,108","3,493","1,615",,
CAT,Caterpillar Inc,"56,753","44,517","101,270",20,"5,064","2,838","2,226",,
BBRY,BlackBerry Ltd,"81,385","18,099","99,484",20,"4,974","4,069",905,,
VALE,Vale SA,"63,523","35,556","99,079",20,"4,954","3,176","1,778",,
AAL,American Airlines Group Inc,"54,666","43,379","98,045",20,"4,902","2,733","2,169",,
CLF,Cleveland-Cliffs Inc,"70,921","18,578","89,499",20,"4,475","3,546",929,,
CVX,Chevron Corp,"46,341","42,459","88,800",20,"4,440","2,317","2,123",,
UAL,United Continental Holdings Inc,"45,150","40,383","85,533",20,"4,277","2,258","2,019",,
CELG,Celgene Corp,"57,498","24,435","81,933",20,"4,097","2,875","1,222",,
ABBV,AbbVie Inc,"57,613","23,031","80,644",20,"4,032","2,881","1,152",,
GOOG,Alphabet Inc,"42,028","38,586","80,614",20,"4,031","2,101","1,929",,
M,Macy's Inc,"56,726","23,803","80,529",20,"4,026","2,836","1,190",,
LULU,Lululemon Athletica Inc,"45,068","35,114","80,182",20,"4,009","2,253","1,756",,
PBR,Petroleo Brasileiro SA,"51,328","28,554","79,882",20,"3,994","2,566","1,428",,
WDC,Western Digital Corp,"49,788","29,955","79,743",20,"3,987","2,489","1,498",,
TGT,Target Corp,"50,633","28,477","79,110",20,"3,956","2,532","1,424",,
COP,ConocoPhillips,"45,468","32,607","78,075",20,"3,904","2,273","1,630",,
COST,Costco Wholesale Corp,"45,091","32,847","77,938",20,"3,897","2,255","1,642",,
RIG,Transocean Ltd,"53,301","24,106","77,407",20,"3,870","2,665","1,205",,
DAL,Delta Air Lines Inc,"47,954","28,885","76,839",20,"3,842","2,398","1,444",,
HAL,Halliburton Co,"41,947","33,918","75,865",20,"3,793","2,097","1,696",,
WYNN,Wynn Resorts Ltd,"48,101","26,826","74,927",20,"3,746","2,405","1,341",,
V,Visa Inc,"44,173","30,328","74,501",20,"3,725","2,209","1,516",,
ADBE,Adobe Systems Inc,"34,896","38,821","73,717",20,"3,686","1,745","1,941",,
PYPL,PayPal Holdings Inc,"38,003","34,483","72,486",20,"3,624","1,900","1,724",,
LOW,Lowe's Cos Inc,"51,952","19,669","71,621",20,"3,581","2,598",983,,
JCP,JC Penney Co Inc,"42,040","26,512","68,552",20,"3,428","2,102","1,326",,
FSLR,First Solar Inc,"31,316","36,713","68,029",20,"3,401","1,566","1,836",,
AABA,Altaba Inc,"57,213","10,283","67,496",20,"3,375","2,861",514,,
MRK,Merck & Co Inc,"43,517","22,972","66,489",20,"3,324","2,176","1,149",,
PCLN,Priceline Group Inc/The,"37,413","28,339","65,752",20,"3,288","1,871","1,417",,
TMUS,T-Mobile US Inc,"52,317","12,987","65,304",20,"3,265","2,616",649,,
BBY,Best Buy Co Inc,"35,360","29,202","64,562",20,"3,228","1,768","1,460",,
JNJ,Johnson & Johnson,"36,119","28,117","64,236",20,"3,212","1,806","1,406",,
HIMX,Himax Technologies Inc,"45,853","17,571","63,424",20,"3,171","2,293",879,,
CRM,salesforce.com Inc,"32,073","31,130","63,203",20,"3,160","1,604","1,557",,
MET,MetLife Inc,"38,183","24,433","62,616",20,"3,131","1,909","1,222",,
AVGO,Broadcom Ltd,"38,620","23,408","62,028",20,"3,101","1,931","1,170",,
AKS,AK Steel Holding Corp,"49,316","11,664","60,980",20,"3,049","2,466",583,,
IBM,International Business Machines Corp,"35,453","25,329","60,782",20,"3,039","1,773","1,266",,
SN,Sanchez Energy Corp,"5,246","55,372","60,618",20,"3,031",262,"2,769",,
MDLZ,Mondelez International Inc,"20,538","40,032","60,570",20,"3,029","1,027","2,002",,
AMGN,Amgen Inc,"41,542","18,542","60,084",20,"3,004","2,077",927,,
MS,Morgan Stanley,"37,125","21,653","58,778",20,"2,939","1,856","1,083",,
GG,Goldcorp Inc,"35,832","22,874","58,706",20,"2,935","1,792","1,144",,
AAOI,Applied Optoelectronics Inc,"20,401","37,199","57,600",20,"2,880","1,020","1,860",,
MCD,McDonald's Corp,"28,875","28,264","57,139",20,"2,857","1,444","1,413",,
WFT,Weatherford International PLC,"45,776","10,922","56,698",20,"2,835","2,289",546,,
AXON,Axovant Sciences Ltd,"27,677","28,560","56,237",20,"2,812","1,384","1,428",,
MA,Mastercard Inc,"35,290","20,926","56,216",20,"2,811","1,765","1,046",,
ATVI,Activision Blizzard Inc,"31,744","23,364","55,108",20,"2,755","1,587","1,168",,
SLB,Schlumberger Ltd,"33,085","21,382","54,467",20,"2,723","1,654","1,069",,
AGN,Allergan PLC,"27,912","24,060","51,972",20,"2,599","1,396","1,203",,
MGM,MGM Resorts International,"27,663","24,006","51,669",20,"2,583","1,383","1,200",,
AIG,American International Group Inc,"26,211","24,413","50,624",20,"2,531","1,311","1,221",,
FDX,FedEx Corp,"26,080","24,278","50,358",20,"2,518","1,304","1,214",,
BP,BP PLC,"34,113","15,080","49,193",20,"2,460","1,706",754,,
FIT,Fitbit Inc,"36,475","12,355","48,830",20,"2,442","1,824",618,,
VLO,Valero Energy Corp,"27,268","21,389","48,657",20,"2,433","1,363","1,069",,
ZGNX,Zogenix Inc,"16,752","31,669","48,421",20,"2,421",838,"1,583",,
WLL,Whiting Petroleum Corp,"32,518","13,235","45,753",20,"2,288","1,626",662,,
UPS,United Parcel Service Inc,"30,208","15,179","45,387",20,"2,269","1,510",759,,
PG,Procter & Gamble Co/The,"26,434","16,831","43,265",20,"2,163","1,322",842,,
NEM,Newmont Mining Corp,"26,493","16,722","43,215",20,"2,161","1,325",836,,
EBAY,eBay Inc,"26,494","16,451","42,945",20,"2,147","1,325",823,,
GPRO,GoPro Inc,"25,855","15,936","41,791",20,"2,090","1,293",797,,
MO,Altria Group Inc,"20,860","20,416","41,276",20,"2,064","1,043","1,021",,
STX,Seagate Technology PLC,"25,268","15,826","41,094",20,"2,055","1,263",791,,
FINL,Finish Line Inc/The,"16,942","23,748","40,690",20,"2,035",847,"1,187",,
LVS,Las Vegas Sands Corp,"21,046","18,755","39,801",20,"1,990","1,052",938,,
MRO,Marathon Oil Corp,"28,517","11,187","39,704",20,"1,985","1,426",559,,
REGN,Regeneron Pharmaceuticals Inc,"16,596","22,062","38,658",20,"1,933",830,"1,103",,
SWN,Southwestern Energy Co,"32,684","5,363","38,047",20,"1,902","1,634",268,,
PANW,Palo Alto Networks Inc,"23,004","14,845","37,849",20,"1,892","1,150",742,,
AXP,American Express Co,"19,210","18,436","37,646",20,"1,882",961,922,,
DWDP,DowDuPont Inc,"31,864","5,605","37,469",20,"1,873","1,593",280,,
UTX,United Technologies Corp,"22,672","14,324","36,996",20,"1,850","1,134",716,,
KMI,Kinder Morgan Inc/DE,"28,309","8,374","36,683",20,"1,834","1,415",419,,
DE,Deere & Co,"22,543","14,110","36,653",20,"1,833","1,127",706,,
RH,RH,"14,917","21,441","36,358",20,"1,818",746,"1,072",,
CTL,CenturyLink Inc,"24,505","11,472","35,977",20,"1,799","1,225",574,,
NTNX,Nutanix Inc,"21,841","14,082","35,923",20,"1,796","1,092",704,,
PEP,PepsiCo Inc,"21,658","13,940","35,598",20,"1,780","1,083",697,,
SHOP,Shopify Inc,"14,959","20,417","35,376",20,"1,769",748,"1,021",,
BBBY,Bed Bath & Beyond Inc,"18,943","16,148","35,091",20,"1,755",947,807,,
CZR,Caesars Entertainment Corp,"17,665","17,072","34,737",20,"1,737",883,854,,
APC,Anadarko Petroleum Corp,"24,367","9,615","33,982",20,"1,699","1,218",481,,
MOS,Mosaic Co/The,"18,875","14,826","33,701",20,"1,685",944,741,,
SQ,Square Inc,"22,662","10,898","33,560",20,"1,678","1,133",545,,
OCLR,Oclaro Inc,"15,171","17,761","32,932",20,"1,647",759,888,,
FEYE,FireEye Inc,"21,672","11,142","32,814",20,"1,641","1,084",557,,
NTES,NetEase Inc,"19,192","13,601","32,793",20,"1,640",960,680,,
AUY,Yamana Gold Inc,"27,423","5,078","32,501",20,"1,625","1,371",254,,
RRC,Range Resources Corp,"22,085","10,060","32,145",20,"1,607","1,104",503,,
HTZ,Hertz Global Holdings Inc,"20,161","11,606","31,767",20,"1,588","1,008",580,,
EOG,EOG Resources Inc,"16,574","14,315","30,889",20,"1,544",829,716,,
BX,Blackstone Group LP/The,"18,829","12,054","30,883",20,"1,544",941,603,,
APA,Apache Corp,"23,151","7,520","30,671",20,"1,534","1,158",376,,
AA,Alcoa Corp,"17,254","12,721","29,975",20,"1,499",863,636,,
AMBA,Ambarella Inc,"22,375","7,300","29,675",20,"1,484","1,119",365,,
MOMO,Momo Inc,"19,720","9,910","29,630",20,"1,482",986,496,,
UNH,UnitedHealth Group Inc,"15,040","14,579","29,619",20,"1,481",752,729,,
TXN,Texas Instruments Inc,"15,873","13,637","29,510",20,"1,476",794,682,,
CF,CF Industries Holdings Inc,"21,909","7,240","29,149",20,"1,457","1,095",362,,
ABT,Abbott Laboratories,"20,151","8,897","29,048",20,"1,452","1,008",445,,
CBI,Chicago Bridge & Iron Co NV,"21,176","7,333","28,509",20,"1,425","1,059",367,,
FNSR,Finisar Corp,"18,542","9,770","28,312",20,"1,416",927,489,,
UAA,Under Armour Inc,"15,225","13,083","28,308",20,"1,415",761,654,,
ETE,Energy Transfer Equity LP,"26,654","1,254","27,908",20,"1,395","1,333",63,,
MDT,Medtronic PLC,"14,619","13,277","27,896",20,"1,395",731,664,,
EXPE,Expedia Inc,"17,028","10,802","27,830",20,"1,392",851,540,,
GPS,Gap Inc/The,"15,079","12,253","27,332",20,"1,367",754,613,,
DB,Deutsche Bank AG,"15,109","11,957","27,066",20,"1,353",755,598,,
MPC,Marathon Petroleum Corp,"17,963","8,895","26,858",20,"1,343",898,445,,
CCL,Carnival Corp,"10,362","16,418","26,780",20,"1,339",518,821,,
EFX,Equifax Inc,"12,289","14,337","26,626",20,"1,331",614,717,,
CVS,CVS Health Corp,"15,254","11,073","26,327",20,"1,316",763,554,,
TECK,Teck Resources Ltd,"16,422","9,637","26,059",20,"1,303",821,482,,
VIPS,Vipshop Holdings Ltd,"24,917","1,065","25,982",20,"1,299","1,246",53,,
BRKB,Berkshire Hathaway Inc,"15,019","10,835","25,854",20,"1,293",751,542,,
AZN,AstraZeneca PLC,"20,756","4,735","25,491",20,"1,275","1,038",237,,
OXY,Occidental Petroleum Corp,"18,754","6,733","25,487",20,"1,274",938,337,,
DVN,Devon Energy Corp,"16,621","8,839","25,460",20,"1,273",831,442,,
BIIB,Biogen Inc,"16,453","8,714","25,167",20,"1,258",823,436,,
SWKS,Skyworks Solutions Inc,"12,999","11,925","24,924",20,"1,246",650,596,,
HIIQ,Health Insurance Innovations Inc,"14,069","10,771","24,840",20,"1,242",703,539,,
GME,GameStop Corp,"8,036","15,869","23,905",20,"1,195",402,793,,
LRCX,Lam Research Corp,"12,130","11,732","23,862",20,"1,193",607,587,,
UNP,Union Pacific Corp,"16,170","7,624","23,794",20,"1,190",809,381,,
NBR,Nabors Industries Ltd,"17,621","6,063","23,684",20,"1,184",881,303,,
SRPT,Sarepta Therapeutics Inc,"16,580","6,895","23,475",20,"1,174",829,345,,
GIS,General Mills Inc,"12,093","11,141","23,234",20,"1,162",605,557,,
ULTA,Ulta Beauty Inc,"10,906","12,187","23,093",20,"1,155",545,609,,
MYL,Mylan NV,"12,278","10,577","22,855",20,"1,143",614,529,,
WBA,Walgreens Boots Alliance Inc,"14,061","8,415","22,476",20,"1,124",703,421,,
RCL,Royal Caribbean Cruises Ltd,"4,535","17,799","22,334",20,"1,117",227,890,,
ESV,Ensco PLC,"17,685","4,348","22,033",20,"1,102",884,217,,
SHLD,Sears Holdings Corp,"11,279","10,671","21,950",20,"1,098",564,534,,
TSM,Taiwan Semiconductor Manufacturing Co Ltd,"1,200","20,651","21,851",20,"1,093",60,"1,033",,
LUV,Southwest Airlines Co,"14,019","7,639","21,658",20,"1,083",701,382,,
CAR,Avis Budget Group Inc,"7,543","14,003","21,546",20,"1,077",377,700,,
ACN,Accenture PLC,"11,637","9,903","21,540",20,"1,077",582,495,,
KSS,Kohl's Corp,"15,343","5,949","21,292",20,"1,065",767,297,,
NAK,Northern Dynasty Minerals Ltd,"18,951","2,186","21,137",20,"1,057",948,109,,
DDD,3D Systems Corp,"5,886","15,202","21,088",20,"1,054",294,760,,
SYF,Synchrony Financial,"7,157","13,708","20,865",20,"1,043",358,685,,
KITE,Kite Pharma Inc,"14,015","6,794","20,809",20,"1,040",701,340,,
POT,Potash Corp of Saskatchewan Inc,"9,355","11,407","20,762",20,"1,038",468,570,,
COF,Capital One Financial Corp,"9,360","11,338","20,698",20,"1,035",468,567,,
RHT,Red Hat Inc,"12,015","8,321","20,336",20,"1,017",601,416,,
ICPT,Intercept Pharmaceuticals Inc,"10,954","9,360","20,314",20,"1,016",548,468,,
MAT,Mattel Inc,"7,896","12,386","20,282",20,"1,014",395,619,,
EROS,Eros International PLC,"12,037","8,212","20,249",20,"1,012",602,411,,
HPE,Hewlett Packard Enterprise Co,"15,371","4,791","20,162",20,"1,008",769,240,,
APRN,Blue Apron Holdings Inc,"11,958","8,001","19,959",20,998,598,400,,
ADP,Automatic Data Processing Inc,"7,894","11,946","19,840",20,992,395,597,,
TWLO,Twilio Inc,"14,570","5,208","19,778",20,989,729,260,,
UNIT,Uniti Group Inc,"6,529","13,244","19,773",20,989,326,662,,
TRIP,TripAdvisor Inc,"10,946","8,708","19,654",20,983,547,435,,
CSX,CSX Corp,"10,757","8,819","19,576",20,979,538,441,,
HES,Hess Corp,"12,948","6,626","19,574",20,979,647,331,,
WPM,Wheaton Precious Metals Corp,"12,227","6,875","19,102",20,955,611,344,,
JBLU,JetBlue Airways Corp,"9,578","9,439","19,017",20,951,479,472,,
YNDX,Yandex NV,"8,699","10,266","18,965",20,948,435,513,,
KORS,Michael Kors Holdings Ltd,"7,245","11,494","18,739",20,937,362,575,,
BUD,Anheuser-Busch InBev SA/NV,"13,096","5,616","18,712",20,936,655,281,,
USB,US Bancorp,"13,930","4,769","18,699",20,935,697,238,,
THC,Tenet Healthcare Corp,"11,163","7,503","18,666",20,933,558,375,,
LB,L Brands Inc,"9,465","9,172","18,637",20,932,473,459,,
WB,Weibo Corp,"9,892","8,722","18,614",20,931,495,436,,
CBS,CBS Corp,"12,709","5,821","18,530",20,927,635,291,,
LNG,Cheniere Energy Inc,"13,193","5,067","18,260",20,913,660,253,,
URI,United Rentals Inc,"9,326","8,913","18,239",20,912,466,446,,
LLY,Eli Lilly & Co,"10,382","7,607","17,989",20,899,519,380,,
ARRY,Array BioPharma Inc,"10,542","7,437","17,979",20,899,527,372,,
MMM,3M Co,"7,413","10,354","17,767",20,888,371,518,,
EA,Electronic Arts Inc,"7,743","10,022","17,765",20,888,387,501,,
CIEN,Ciena Corp,"10,263","7,475","17,738",20,887,513,374,,
HON,Honeywell International Inc,"11,185","6,541","17,726",20,886,559,327,,
P,Pandora Media Inc,"12,631","4,923","17,554",20,878,632,246,,
EPD,Enterprise Products Partners LP,"13,390","4,039","17,429",20,871,670,202,,
ETP,Energy Transfer Partners LP,"13,845","3,545","17,390",20,870,692,177,,
LMT,Lockheed Martin Corp,"7,834","9,312","17,146",20,857,392,466,,
HPQ,HP Inc,"12,582","4,170","16,752",20,838,629,209,,
SO,Southern Co/The,"10,118","6,491","16,609",20,830,506,325,,
OLED,Universal Display Corp,"10,669","5,852","16,521",20,826,533,293,,
GGP,GGP Inc,"7,900","8,599","16,499",20,825,395,430,,
BZUN,Baozun Inc,"10,569","5,809","16,378",20,819,528,290,,
TWX,Time Warner Inc,"8,595","7,659","16,254",20,813,430,383,,
KMX,CarMax Inc,"8,286","7,927","16,213",20,811,414,396,,
SYMC,Symantec Corp,"8,950","7,199","16,149",20,807,448,360,,
JUNO,Juno Therapeutics Inc,"8,672","7,387","16,059",20,803,434,369,,
ALB,Albemarle Corp,"9,142","6,864","16,006",20,800,457,343,,
OPK,OPKO Health Inc,"11,314","4,535","15,849",20,792,566,227,,
LITE,Lumentum Holdings Inc,"10,719","5,003","15,722",20,786,536,250,,
EXC,Exelon Corp,"14,712",974,"15,686",20,784,736,49,,
UPL,Ultra Petroleum Corp,435,"15,239","15,674",20,784,22,762,,
PM,Philip Morris International Inc,"7,055","8,618","15,673",20,784,353,431,,
NUE,Nucor Corp,"8,028","7,322","15,350",20,768,401,366,,
KHC,Kraft Heinz Co/The,"8,269","7,057","15,326",20,766,413,353,,
VSAR,Versartis Inc,"11,548","3,660","15,208",20,760,577,183,,
CTRP,Ctrip.com International Ltd,"8,297","6,821","15,118",20,756,415,341,,
STZ,Constellation Brands Inc,"4,576","10,447","15,023",20,751,229,522,,
AG,First Majestic Silver Corp,"11,164","3,814","14,978",20,749,558,191,,
RTN,Raytheon Co,"9,994","4,718","14,712",20,736,500,236,,
NRG,NRG Energy Inc,"12,987","1,714","14,701",20,735,649,86,,
HL,Hecla Mining Co,"13,206","1,482","14,688",20,734,660,74,,
CY,Cypress Semiconductor Corp,"13,118","1,555","14,673",20,734,656,78,,
USG,USG Corp,"9,496","5,129","14,625",20,731,475,256,,
ALNY,Alnylam Pharmaceuticals Inc,"7,654","6,936","14,590",20,730,383,347,,
NE,Noble Corp plc,"10,499","3,851","14,350",20,718,525,193,,
JWN,Nordstrom Inc,"9,391","4,904","14,295",20,715,470,245,,
CME,CME Group Inc,"9,131","5,116","14,247",20,712,457,256,,
HSBC,HSBC Holdings PLC,"6,812","7,285","14,097",20,705,341,364,,
RF,Regions Financial Corp,"9,015","5,054","14,069",20,703,451,253,,
UBNT,Ubiquiti Networks Inc,"4,814","9,246","14,060",20,703,241,462,,
KMB,Kimberly-Clark Corp,"10,434","3,510","13,944",20,697,522,176,,
JBL,Jabil Inc,"5,521","8,422","13,943",20,697,276,421,,
GLW,Corning Inc,"9,271","4,575","13,846",20,692,464,229,,
CLR,Continental Resources Inc/OK,"10,895","2,909","13,804",20,690,545,145,,
RDSA,Royal Dutch Shell,"11,984","1,780","13,764",20,688,599,89,,
NLNK,NewLink Genetics Corp,"10,401","3,356","13,757",20,688,520,168,,
SDRL,Seadrill Ltd,"7,964","5,765","13,729",20,686,398,288,,
FOLD,Amicus Therapeutics Inc,"9,110","4,613","13,723",20,686,456,231,,
BHP,BHP Billiton Ltd,"10,291","3,427","13,718",20,686,515,171,,
SFM,Sprouts Farmers Market Inc,"10,461","3,200","13,661",20,683,523,160,,
NOV,National Oilwell Varco Inc,"9,421","4,202","13,623",20,681,471,210,,
AZO,AutoZone Inc,"7,332","6,268","13,600",20,680,367,313,,
GWW,WW Grainger Inc,"11,095","2,481","13,576",20,679,555,124,,
YY,YY Inc,"8,428","5,110","13,538",20,677,421,256,,
NGD,New Gold Inc,"11,110","2,375","13,485",20,674,556,119,,
FCAU,Fiat Chrysler Automobiles NV,"9,687","3,793","13,480",20,674,484,190,,
MNKD,MannKind Corp,"9,503","3,883","13,386",20,669,475,194,,
VIAB,Viacom Inc,"6,694","6,616","13,310",20,666,335,331,,
WM,Waste Management Inc,"7,065","6,179","13,244",20,662,353,309,,
ADSK,Autodesk Inc,"7,350","5,891","13,241",20,662,368,295,,
JNPR,Juniper Networks Inc,"5,349","7,815","13,164",20,658,267,391,,
SGYP,Synergy Pharmaceuticals Inc,"7,438","5,688","13,126",20,656,372,284,,
MRVL,Marvell Technology Group Ltd,"7,781","5,329","13,110",20,656,389,266,,
JKS,JinkoSolar Holding Co Ltd,"8,162","4,898","13,060",20,653,408,245,,
ESRX,Express Scripts Holding Co,"6,053","7,001","13,054",20,653,303,350,,
TXMD,TherapeuticsMD Inc,"12,505",543,"13,048",20,652,625,27,,
OSTK,Overstock.com Inc,"10,898","2,103","13,001",20,650,545,105,,
HOG,Harley-Davidson Inc,"5,392","7,517","12,909",20,645,270,376,,
ISRG,Intuitive Surgical Inc,"5,850","6,971","12,821",20,641,293,349,,
VMW,VMware Inc,"10,413","2,344","12,757",20,638,521,117,,
YPF,YPF SA,"4,941","7,623","12,564",20,628,247,381,,
WATT,Energous Corp,"7,440","4,977","12,417",20,621,372,249,,
NUAN,Nuance Communications Inc,"12,047",366,"12,413",20,621,602,18,,
SPWR,SunPower Corp,"9,225","3,161","12,386",20,619,461,158,,
AMTD,TD Ameritrade Holding Corp,"8,124","4,200","12,324",20,616,406,210,,
CHRW,CH Robinson Worldwide Inc,"1,643","10,557","12,200",20,610,82,528,,
SPLK,Splunk Inc,"9,721","2,367","12,088",20,604,486,118,,
FAST,Fastenal Co,"7,825","4,220","12,045",20,602,391,211,,
FL,Foot Locker Inc,"6,684","5,338","12,022",20,601,334,267,,
STM,STMicroelectronics NV,"9,490","2,413","11,903",20,595,475,121,,
TRV,Travelers Cos Inc/The,"3,468","8,416","11,884",20,594,173,421,,
KGC,Kinross Gold Corp,"9,750","2,123","11,873",20,594,488,106,,
HLF,Herbalife Ltd,"2,623","9,202","11,825",20,591,131,460,,
ALL,Allstate Corp/The,"3,269","8,537","11,806",20,590,163,427,,
W,Wayfair Inc,"5,185","6,566","11,751",20,588,259,328,,
IGT,International Game Technology PLC,"11,300",407,"11,707",20,585,565,20,,
COG,Cabot Oil & Gas Corp,"8,291","3,342","11,633",20,582,415,167,,
DHI,DR Horton Inc,"8,731","2,895","11,626",20,581,437,145,,
CSIQ,Canadian Solar Inc,"6,902","4,681","11,583",20,579,345,234,,
DISH,DISH Network Corp,"5,310","6,267","11,577",20,579,266,313,,
GLNG,Golar LNG Ltd,"9,742","1,808","11,550",20,578,487,90,,
OAS,Oasis Petroleum Inc,"9,004","2,383","11,387",20,569,450,119,,
STMP,Stamps.com Inc,"3,969","7,412","11,381",20,569,198,371,,
KBH,KB Home,"8,669","2,673","11,342",20,567,433,134,,
VRTX,Vertex Pharmaceuticals Inc,"6,389","4,786","11,175",20,559,319,239,,
ALR,Alere Inc,"9,434","1,703","11,137",20,557,472,85,,
SKX,Skechers U.S.A. Inc,"6,914","4,221","11,135",20,557,346,211,,
JCI,Johnson Controls International plc,"7,743","3,363","11,106",20,555,387,168,,
HBI,Hanesbrands Inc,"4,359","6,661","11,020",20,551,218,333,,
INCY,Incyte Corp,"5,483","5,422","10,905",20,545,274,271,,
URBN,Urban Outfitters Inc,"3,844","6,834","10,678",20,534,192,342,,
MUX,McEwen Mining Inc,"9,902",741,"10,643",20,532,495,37,,
TTD,Trade Desk Inc/The,"7,547","3,074","10,621",20,531,377,154,,
KEM,KEMET Corp,"9,378","1,240","10,618",20,531,469,62,,
SAVE,Spirit Airlines Inc,"2,164","8,434","10,598",20,530,108,422,,
BWLD,Buffalo Wild Wings Inc,"6,038","4,545","10,583",20,529,302,227,,
GNW,Genworth Financial Inc,"7,287","3,239","10,526",20,526,364,162,,
RMP,Rice Midstream Partners LP,"2,120","8,404","10,524",20,526,106,420,,
IRBT,iRobot Corp,"5,607","4,890","10,497",20,525,280,245,,
FOXA,Twenty-First Century Fox Inc,"3,007","7,486","10,493",20,525,150,374,,
YELP,Yelp Inc,"4,445","6,044","10,489",20,524,222,302,,
LL,Lumber Liquidators Holdings Inc,"4,824","5,627","10,451",20,523,241,281,,
