Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
AAPL,Apple Inc,"1,423,356","863,965","2,287,321",20,"114,366","71,168","43,198",,
BAC,Bank of America Corp,"1,103,516","449,612","1,553,128",20,"77,656","55,176","22,481",,
FB,Facebook Inc,"549,135","375,418","924,553",20,"46,228","27,457","18,771",,
MU,Micron Technology Inc,"641,914","270,921","912,835",20,"45,642","32,096","13,546",,
NVDA,NVIDIA Corp,"345,068","266,762","611,830",20,"30,592","17,253","13,338",,
TSLA,Tesla Inc,"315,827","249,419","565,246",20,"28,262","15,791","12,471",,
AMD,Advanced Micro Devices Inc,"395,150","166,049","561,199",20,"28,060","19,758","8,302",,
BABA,Alibaba Group Holding Ltd,"352,150","176,755","528,905",20,"26,445","17,608","8,838",,
T,AT&T Inc,"272,686","248,906","521,592",20,"26,080","13,634","12,445",,
AMZN,Amazon.com Inc,"251,070","233,068","484,138",20,"24,207","12,554","11,653",,
GE,General Electric Co,"198,934","205,562","404,496",20,"20,225","9,947","10,278",,
MSFT,Microsoft Corp,"210,827","148,175","359,002",20,"17,950","10,541","7,409",,
NFLX,Netflix Inc,"191,874","151,718","343,592",20,"17,180","9,594","7,586",,
C,Citigroup Inc,"184,662","122,558","307,220",20,"15,361","9,233","6,128",,
ORCL,Oracle Corp,"191,900","105,553","297,453",20,"14,873","9,595","5,278",,
SNAP,Snap Inc,"170,943","79,691","250,634",20,"12,532","8,547","3,985",,
JPM,JPMorgan Chase & Co,"152,067","97,255","249,322",20,"12,466","7,603","4,863",,
X,United States Steel Corp,"141,248","79,562","220,810",20,"11,041","7,062","3,978",,
F,Ford Motor Co,"137,518","76,106","213,624",20,"10,681","6,876","3,805",,
INTC,Intel Corp,"147,314","56,845","204,159",20,"10,208","7,366","2,842",,
GILD,Gilead Sciences Inc,"123,885","78,027","201,912",20,"10,096","6,194","3,901",,
HD,Home Depot Inc/The,"118,369","70,622","188,991",20,"9,450","5,918","3,531",,
