Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV
BAC,Bank of America Corp,"1,165,921","617,641","1,783,562",22,"81,071","52,996","28,075"
AAPL,Apple Inc,"1,152,404","595,255","1,747,659",22,"79,439","52,382","27,057"
MU,Micron Technology Inc,"686,313","458,987","1,145,300",22,"52,059","31,196","20,863"
GE,General Electric Co,"536,890","579,037","1,115,927",22,"50,724","24,404","26,320"
FB,Facebook Inc,"687,368","332,525","1,019,893",22,"46,359","31,244","15,115"
T,AT&T Inc,"556,953","341,603","898,556",22,"40,843","25,316","15,527"
AMD,Advanced Micro Devices Inc,"494,215","270,921","765,136",22,"34,779","22,464","12,315"
NFLX,Netflix Inc,"402,648","284,013","686,661",22,"31,212","18,302","12,910"
AMZN,Amazon.com Inc,"341,834","274,138","615,972",22,"27,999","15,538","12,461"
BABA,Alibaba Group Holding Ltd,"394,456","218,797","613,253",22,"27,875","17,930","9,945"
MSFT,Microsoft Corp,"391,889","205,491","597,380",22,"27,154","17,813","9,341"
TSLA,Tesla Inc,"308,424","275,533","583,957",22,"26,544","14,019","12,524"
INTC,Intel Corp,"387,041","145,767","532,808",22,"24,219","17,593","6,626"
NVDA,NVIDIA Corp,"309,857","220,571","530,428",22,"24,110","14,084","10,026"
C,Citigroup Inc,"262,797","149,960","412,757",22,"18,762","11,945","6,816"
JPM,JPMorgan Chase & Co,"234,414","151,408","385,822",22,"17,537","10,655","6,882"
TWTR,Twitter Inc,"259,184","93,830","353,014",22,"16,046","11,781","4,265"
GM,General Motors Co,"242,059","100,094","342,153",22,"15,552","11,003","4,550"
WMT,Wal-Mart Stores Inc,"188,103","96,625","284,728",22,"12,942","8,550","4,392"
F,Ford Motor Co,"175,018","104,119","279,137",22,"12,688","7,955","4,733"
JD,JD.com Inc,"178,707","95,985","274,692",22,"12,486","8,123","4,363"
SNAP,Snap Inc,"137,937","96,492","234,429",22,"10,656","6,270","4,386"
WFC,Wells Fargo & Co,"126,872","103,271","230,143",22,"10,461","5,767","4,694"
X,United States Steel Corp,"135,139","83,377","218,516",22,"9,933","6,143","3,790"
IBM,International Business Machines Corp,"127,977","80,642","208,619",22,"9,483","5,817","3,666"
CELG,Celgene Corp,"121,917","70,577","192,494",22,"8,750","5,542","3,208"
VRX,Valeant Pharmaceuticals International Inc,"122,230","67,344","189,574",22,"8,617","5,556","3,061"
FCX,Freeport-McMoRan Inc,"119,627","68,894","188,521",22,"8,569","5,438","3,132"
GILD,Gilead Sciences Inc,"114,542","71,648","186,190",22,"8,463","5,206","3,257"
COST,Costco Wholesale Corp,"92,624","83,702","176,326",22,"8,015","4,210","3,805"
TEVA,Teva Pharmaceutical Industries Ltd,"91,268","84,977","176,245",22,"8,011","4,149","3,863"
CMG,Chipotle Mexican Grill Inc,"86,120","86,796","172,916",22,"7,860","3,915","3,945"
QCOM,QUALCOMM Inc,"111,450","52,570","164,020",22,"7,455","5,066","2,390"
PYPL,PayPal Holdings Inc,"101,960","56,695","158,655",22,"7,212","4,635","2,577"
CSCO,Cisco Systems Inc,"106,202","47,935","154,137",22,"7,006","4,827","2,179"
GOOGL,Alphabet Inc,"89,735","62,370","152,105",22,"6,914","4,079","2,835"
CAT,Caterpillar Inc,"82,214","66,069","148,283",22,"6,740","3,737","3,003"
PG,Procter & Gamble Co/The,"98,965","49,203","148,168",22,"6,735","4,498","2,237"
MGM,MGM Resorts International,"77,762","68,757","146,519",22,"6,660","3,535","3,125"
BA,Boeing Co/The,"62,839","81,218","144,057",22,"6,548","2,856","3,692"
NKE,NIKE Inc,"65,256","78,647","143,903",22,"6,541","2,966","3,575"
VZ,Verizon Communications Inc,"88,547","51,108","139,655",22,"6,348","4,025","2,323"
UAL,United Continental Holdings Inc,"91,441","43,492","134,933",22,"6,133","4,156","1,977"
ABX,Barrick Gold Corp,"75,456","59,307","134,763",22,"6,126","3,430","2,696"
AMAT,Applied Materials Inc,"92,896","39,712","132,608",22,"6,028","4,223","1,805"
BIDU,Baidu Inc,"72,551","58,601","131,152",22,"5,961","3,298","2,664"
DIS,Walt Disney Co/The,"62,264","68,848","131,112",22,"5,960","2,830","3,129"
KR,Kroger Co/The,"40,959","89,843","130,802",22,"5,946","1,862","4,084"
DAL,Delta Air Lines Inc,"76,372","53,772","130,144",22,"5,916","3,471","2,444"
GS,Goldman Sachs Group Inc/The,"77,237","52,129","129,366",22,"5,880","3,511","2,370"
PFE,Pfizer Inc,"84,825","44,187","129,012",22,"5,864","3,856","2,009"
JCP,JC Penney Co Inc,"59,940","64,825","124,765",22,"5,671","2,725","2,947"
SBUX,Starbucks Corp,"66,997","56,634","123,631",22,"5,620","3,045","2,574"
AAL,American Airlines Group Inc,"74,194","47,005","121,199",22,"5,509","3,372","2,137"
MNKD,MannKind Corp,"78,967","40,252","119,219",22,"5,419","3,589","1,830"
M,Macy's Inc,"70,332","48,236","118,568",22,"5,389","3,197","2,193"
TGT,Target Corp,"67,169","50,429","117,598",22,"5,345","3,053","2,292"
XOM,Exxon Mobil Corp,"77,116","39,874","116,990",22,"5,318","3,505","1,812"
CMCSA,Comcast Corp,"63,951","52,029","115,980",22,"5,272","2,907","2,365"
HD,Home Depot Inc/The,"68,376","47,460","115,836",22,"5,265","3,108","2,157"
ORCL,Oracle Corp,"85,803","28,003","113,806",22,"5,173","3,900","1,273"
CLF,Cleveland-Cliffs Inc,"81,435","32,113","113,548",22,"5,161","3,702","1,460"
CHK,Chesapeake Energy Corp,"85,723","24,500","110,223",22,"5,010","3,897","1,114"
SHLD,Sears Holdings Corp,"32,141","76,662","108,803",22,"4,946","1,461","3,485"
GOOG,Alphabet Inc,"54,390","50,892","105,282",22,"4,786","2,472","2,313"
JNJ,Johnson & Johnson,"66,743","36,378","103,121",22,"4,687","3,034","1,654"
BMY,Bristol-Myers Squibb Co,"73,785","27,239","101,024",22,"4,592","3,354","1,238"
V,Visa Inc,"55,559","40,807","96,366",22,"4,380","2,525","1,855"
MS,Morgan Stanley,"45,407","48,897","94,304",22,"4,287","2,064","2,223"
EBAY,eBay Inc,"50,096","42,645","92,741",22,"4,216","2,277","1,938"
ADBE,Adobe Systems Inc,"36,441","49,231","85,672",22,"3,894","1,656","2,238"
RAD,Rite Aid Corp,"56,898","27,586","84,484",22,"3,840","2,586","1,254"
PBR,Petroleo Brasileiro SA,"72,044","11,755","83,799",22,"3,809","3,275",534
STX,Seagate Technology PLC,"46,656","36,651","83,307",22,"3,787","2,121","1,666"
CRM,salesforce.com Inc,"56,031","27,110","83,141",22,"3,779","2,547","1,232"
MRK,Merck & Co Inc,"52,123","30,113","82,236",22,"3,738","2,369","1,369"
WYNN,Wynn Resorts Ltd,"42,939","37,353","80,292",22,"3,650","1,952","1,698"
AGN,Allergan PLC,"40,405","38,795","79,200",22,"3,600","1,837","1,763"
AKS,AK Steel Holding Corp,"64,347","14,597","78,944",22,"3,588","2,925",664
SHOP,Shopify Inc,"41,434","35,208","76,642",22,"3,484","1,883","1,600"
RIG,Transocean Ltd,"46,044","29,032","75,076",22,"3,413","2,093","1,320"
ACIW,ACI Worldwide Inc,"25,022","50,010","75,032",22,"3,411","1,137","2,273"
MCD,McDonald's Corp,"40,437","33,849","74,286",22,"3,377","1,838","1,539"
MDLZ,Mondelez International Inc,"25,739","46,620","72,359",22,"3,289","1,170","2,119"
SQ,Square Inc,"47,646","24,313","71,959",22,"3,271","2,166","1,105"
CVS,CVS Health Corp,"40,920","30,728","71,648",22,"3,257","1,860","1,397"
KO,Coca-Cola Co/The,"40,658","30,614","71,272",22,"3,240","1,848","1,392"
SLB,Schlumberger Ltd,"31,249","39,891","71,140",22,"3,234","1,420","1,813"
MA,Mastercard Inc,"39,892","30,536","70,428",22,"3,201","1,813","1,388"
WDC,Western Digital Corp,"39,440","30,621","70,061",22,"3,185","1,793","1,392"
UPS,United Parcel Service Inc,"49,632","19,923","69,555",22,"3,162","2,256",906
AAOI,Applied Optoelectronics Inc,"22,125","46,770","68,895",22,"3,132","1,006","2,126"
HAL,Halliburton Co,"32,352","36,496","68,848",22,"3,129","1,471","1,659"
PCLN,Priceline Group Inc/The,"34,925","31,926","66,851",22,"3,039","1,588","1,451"
CVX,Chevron Corp,"31,938","33,277","65,215",22,"2,964","1,452","1,513"
NBR,Nabors Industries Ltd,"45,873","18,621","64,494",22,"2,932","2,085",846
CTL,CenturyLink Inc,"43,742","20,467","64,209",22,"2,919","1,988",930
BP,BP PLC,"42,862","20,321","63,183",22,"2,872","1,948",924
ABBV,AbbVie Inc,"42,773","20,383","63,156",22,"2,871","1,944",927
AMGN,Amgen Inc,"33,470","29,455","62,925",22,"2,860","1,521","1,339"
CBS,CBS Corp,"28,877","33,194","62,071",22,"2,821","1,313","1,509"
BX,Blackstone Group LP/The,"31,189","30,854","62,043",22,"2,820","1,418","1,402"
SN,Sanchez Energy Corp,"8,701","52,824","61,525",22,"2,797",396,"2,401"
RCII,Rent-A-Center Inc/TX,"26,723","33,861","60,584",22,"2,754","1,215","1,539"
PEP,PepsiCo Inc,"37,080","22,788","59,868",22,"2,721","1,685","1,036"
AVGO,Broadcom Ltd,"35,063","24,755","59,818",22,"2,719","1,594","1,125"
UAA,Under Armour Inc,"31,048","27,435","58,483",22,"2,658","1,411","1,247"
WBA,Walgreens Boots Alliance Inc,"35,937","22,211","58,148",22,"2,643","1,634","1,010"
COP,ConocoPhillips,"31,998","25,910","57,908",22,"2,632","1,454","1,178"
ATVI,Activision Blizzard Inc,"32,564","24,706","57,270",22,"2,603","1,480","1,123"
S,Sprint Corp,"37,378","19,595","56,973",22,"2,590","1,699",891
GLUU,Glu Mobile Inc,"40,641","16,216","56,857",22,"2,584","1,847",737
EXPE,Expedia Inc,"34,930","20,520","55,450",22,"2,520","1,588",933
BBRY,BlackBerry Ltd,"43,557","11,773","55,330",22,"2,515","1,980",535
EFX,Equifax Inc,"27,553","26,880","54,433",22,"2,474","1,252","1,222"
AXP,American Express Co,"31,993","22,420","54,413",22,"2,473","1,454","1,019"
CZR,Caesars Entertainment Corp,"38,310","15,976","54,286",22,"2,468","1,741",726
WFT,Weatherford International PLC,"39,836","13,584","53,420",22,"2,428","1,811",617
LOW,Lowe's Cos Inc,"31,294","21,661","52,955",22,"2,407","1,422",985
LUV,Southwest Airlines Co,"25,888","26,768","52,656",22,"2,393","1,177","1,217"
AABA,Altaba Inc,"41,583","9,882","51,465",22,"2,339","1,890",449
APC,Anadarko Petroleum Corp,"28,476","22,037","50,513",22,"2,296","1,294","1,002"
VALE,Vale SA,"29,417","20,919","50,336",22,"2,288","1,337",951
MO,Altria Group Inc,"30,478","18,242","48,720",22,"2,215","1,385",829
K,Kellogg Co,"9,831","38,436","48,267",22,"2,194",447,"1,747"
TWX,Time Warner Inc,"13,375","34,029","47,404",22,"2,155",608,"1,547"
MYL,Mylan NV,"25,167","21,400","46,567",22,"2,117","1,144",973
NEM,Newmont Mining Corp,"18,998","27,516","46,514",22,"2,114",864,"1,251"
WLL,Whiting Petroleum Corp,"32,337","13,575","45,912",22,"2,087","1,470",617
GG,Goldcorp Inc,"31,930","13,861","45,791",22,"2,081","1,451",630
LVS,Las Vegas Sands Corp,"23,313","22,456","45,769",22,"2,080","1,060","1,021"
MAT,Mattel Inc,"24,738","20,728","45,466",22,"2,067","1,124",942
GLW,Corning Inc,"25,696","19,527","45,223",22,"2,056","1,168",888
AIG,American International Group Inc,"26,684","18,296","44,980",22,"2,045","1,213",832
LULU,Lululemon Athletica Inc,"26,372","17,654","44,026",22,"2,001","1,199",802
FSLR,First Solar Inc,"25,533","17,754","43,287",22,"1,968","1,161",807
EA,Electronic Arts Inc,"26,177","16,534","42,711",22,"1,941","1,190",752
GGP,GGP Inc,"9,872","32,667","42,539",22,"1,934",449,"1,485"
CBI,Chicago Bridge & Iron Co NV,"22,403","19,982","42,385",22,"1,927","1,018",908
HIMX,Himax Technologies Inc,"24,802","17,291","42,093",22,"1,913","1,127",786
KMI,Kinder Morgan Inc/DE,"25,386","16,320","41,706",22,"1,896","1,154",742
CSX,CSX Corp,"26,819","14,211","41,030",22,"1,865","1,219",646
HPQ,HP Inc,"25,177","15,737","40,914",22,"1,860","1,144",715
BIIB,Biogen Inc,"23,046","17,840","40,886",22,"1,858","1,048",811
UNH,UnitedHealth Group Inc,"19,219","21,311","40,530",22,"1,842",874,969
ABT,Abbott Laboratories,"25,108","14,971","40,079",22,"1,822","1,141",681
GPRO,GoPro Inc,"22,085","17,233","39,318",22,"1,787","1,004",783
TMUS,T-Mobile US Inc,"27,527","11,589","39,116",22,"1,778","1,251",527
HON,Honeywell International Inc,"25,255","13,859","39,114",22,"1,778","1,148",630
GPS,Gap Inc/The,"12,059","26,679","38,738",22,"1,761",548,"1,213"
WPM,Wheaton Precious Metals Corp,"31,611","7,032","38,643",22,"1,757","1,437",320
SYF,Synchrony Financial,"22,370","16,248","38,618",22,"1,755","1,017",739
MBI,MBIA Inc,"20,841","17,655","38,496",22,"1,750",947,803
DDD,3D Systems Corp,"18,619","19,814","38,433",22,"1,747",846,901
AA,Alcoa Corp,"24,042","14,156","38,198",22,"1,736","1,093",643
BBY,Best Buy Co Inc,"19,606","18,178","37,784",22,"1,717",891,826
MET,MetLife Inc,"12,523","25,066","37,589",22,"1,709",569,"1,139"
TXN,Texas Instruments Inc,"24,001","13,419","37,420",22,"1,701","1,091",610
TECK,Teck Resources Ltd,"26,337","10,509","36,846",22,"1,675","1,197",478
MMM,3M Co,"15,637","20,708","36,345",22,"1,652",711,941
MRO,Marathon Oil Corp,"28,869","7,410","36,279",22,"1,649","1,312",337
DE,Deere & Co,"18,456","17,399","35,855",22,"1,630",839,791
MOMO,Momo Inc,"19,463","16,063","35,526",22,"1,615",885,730
JNPR,Juniper Networks Inc,"10,400","23,693","34,093",22,"1,550",473,"1,077"
HOG,Harley-Davidson Inc,"14,161","19,779","33,940",22,"1,543",644,899
PM,Philip Morris International Inc,"16,637","17,152","33,789",22,"1,536",756,780
VLO,Valero Energy Corp,"15,963","17,771","33,734",22,"1,533",726,808
FDX,FedEx Corp,"16,737","16,669","33,406",22,"1,518",761,758
CIEN,Ciena Corp,"24,738","8,377","33,115",22,"1,505","1,124",381
NTES,NetEase Inc,"21,580","11,472","33,052",22,"1,502",981,521
FEYE,FireEye Inc,"24,907","7,982","32,889",22,"1,495","1,132",363
LRCX,Lam Research Corp,"17,843","14,879","32,722",22,"1,487",811,676
HPE,Hewlett Packard Enterprise Co,"21,265","11,379","32,644",22,"1,484",967,517
BUD,Anheuser-Busch InBev SA/NV,"14,608","17,666","32,274",22,"1,467",664,803
USB,US Bancorp,"22,958","9,197","32,155",22,"1,462","1,044",418
VIAB,Viacom Inc,"20,210","11,773","31,983",22,"1,454",919,535
FIT,Fitbit Inc,"24,045","7,839","31,884",22,"1,449","1,093",356
LB,L Brands Inc,"9,391","22,139","31,530",22,"1,433",427,"1,006"
STZ,Constellation Brands Inc,"13,915","17,223","31,138",22,"1,415",633,783
OSTK,Overstock.com Inc,"24,554","6,243","30,797",22,"1,400","1,116",284
UA,Under Armour Inc,"18,264","12,107","30,371",22,"1,381",830,550
NXPI,NXP Semiconductors NV,"19,086","11,034","30,120",22,"1,369",868,502
JBLU,JetBlue Airways Corp,"16,603","13,226","29,829",22,"1,356",755,601
HLF,Herbalife Ltd,"10,050","19,152","29,202",22,"1,327",457,871
SWN,Southwestern Energy Co,"24,825","4,314","29,139",22,"1,325","1,128",196
CTRP,Ctrip.com International Ltd,"16,312","12,573","28,885",22,"1,313",741,572
GME,GameStop Corp,"7,373","21,350","28,723",22,"1,306",335,970
RH,RH,"13,081","15,631","28,712",22,"1,305",595,711
UNP,Union Pacific Corp,"19,435","8,922","28,357",22,"1,289",883,406
UNIT,Uniti Group Inc,"20,713","7,390","28,103",22,"1,277",942,336
DB,Deutsche Bank AG,"15,923","11,725","27,648",22,"1,257",724,533
ESRX,Express Scripts Holding Co,"13,940","13,294","27,234",22,"1,238",634,604
SEAS,SeaWorld Entertainment Inc,"25,406","1,824","27,230",22,"1,238","1,155",83
