Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
AAPL,Apple Inc,"2,236,839","963,044","3,199,883",22,"145,449","101,675","43,775",,
BAC,Bank of America Corp,"903,039","408,469","1,311,508",22,"59,614","41,047","18,567",,
FB,Facebook Inc,"794,210","454,962","1,249,172",22,"56,781","36,100","20,680",,
AMD,Advanced Micro Devices Inc,"641,630","301,429","943,059",22,"42,866","29,165","13,701",,
TSLA,Tesla Inc,"460,030","434,100","894,130",22,"40,642","20,910","19,732",,
NVDA,NVIDIA Corp,"521,343","336,879","858,222",22,"39,010","23,697","15,313",,
AMZN,Amazon.com Inc,"332,909","328,662","661,571",22,"30,071","15,132","14,939",,
BABA,Alibaba Group Holding Ltd,"445,317","172,717","618,034",22,"28,092","20,242","7,851",,
MSFT,Microsoft Corp,"359,839","147,395","507,234",22,"23,056","16,356","6,700",,
VRX,Valeant Pharmaceuticals International Inc,"309,103","130,693","439,796",22,"19,991","14,050","5,941",,
MU,Micron Technology Inc,"289,705","121,340","411,045",22,"18,684","13,168","5,515",,
SNAP,Snap Inc,"219,983","187,555","407,538",22,"18,524","9,999","8,525",,
TWTR,Twitter Inc,"316,654","82,368","399,022",22,"18,137","14,393","3,744",,
X,United States Steel Corp,"252,275","138,333","390,608",22,"17,755","11,467","6,288",,
NFLX,Netflix Inc,"190,616","178,904","369,520",22,"16,796","8,664","8,132",,
C,Citigroup Inc,"222,647","141,788","364,435",22,"16,565","10,120","6,445",,
GE,General Electric Co,"225,589","102,721","328,310",22,"14,923","10,254","4,669",,
JPM,JPMorgan Chase & Co,"162,809","142,824","305,633",22,"13,892","7,400","6,492",,
DIS,Walt Disney Co/The,"135,058","134,293","269,351",22,"12,243","6,139","6,104",,
INTC,Intel Corp,"165,022","99,902","264,924",22,"12,042","7,501","4,541",,
F,Ford Motor Co,"150,640","112,216","262,856",22,"11,948","6,847","5,101",,
CSCO,Cisco Systems Inc,"166,140","90,592","256,732",22,"11,670","7,552","4,118",,
T,AT&T Inc,"116,166","123,400","239,566",22,"10,889","5,280","5,609",,
XOM,Exxon Mobil Corp,"121,163","100,410","221,573",22,"10,072","5,507","4,564",,
WFC,Wells Fargo & Co,"114,107","98,508","212,615",22,"9,664","5,187","4,478",,
GS,Goldman Sachs Group Inc/The,"116,369","91,568","207,937",22,"9,452","5,290","4,162",,
VZ,Verizon Communications Inc,"150,681","53,401","204,082",22,"9,276","6,849","2,427",,
GM,General Motors Co,"98,971","101,902","200,873",22,"9,131","4,499","4,632",,
CHK,Chesapeake Energy Corp,"137,075","63,517","200,592",22,"9,118","6,231","2,887",,
