Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
BCRX,BioCryst Pharmaceuticals Inc,480,"1,176","1,656",23,72,21,51,
ADS,Alliance Data Systems Corp,608,"1,046","1,654",23,72,26,45,
VG,Vonage Holdings Corp,836,810,"1,646",23,72,36,35,
CRBP,Corbus Pharmaceuticals Holdings Inc,"1,399",245,"1,644",23,71,61,11,
EGRX,Eagle Pharmaceuticals Inc/DE,"1,369",274,"1,643",23,71,60,12,
ARA,American Renal Associates Holdings Inc,373,"1,263","1,636",23,71,16,55,
UIS,Unisys Corp,852,771,"1,623",23,71,37,34,
STOR,STORE Capital Corp,898,723,"1,621",23,70,39,31,
IEP,Icahn Enterprises LP,"1,024",594,"1,618",23,70,45,26,
HSIC,Henry Schein Inc,528,"1,079","1,607",23,70,23,47,
TDG,TransDigm Group Inc,393,"1,212","1,605",23,70,17,53,
SUN,Sunoco LP,962,640,"1,602",23,70,42,28,
PSA,Public Storage,577,"1,025","1,602",23,70,25,45,
TMO,Thermo Fisher Scientific Inc,886,704,"1,590",23,69,39,31,
COMM,CommScope Holding Co Inc,"1,416",167,"1,583",23,69,62,7,
VSI,Vitamin Shoppe Inc,422,"1,157","1,579",23,69,18,50,
PEGA,Pegasystems Inc,703,871,"1,574",23,68,31,38,
CEO,CNOOC Ltd,"1,056",510,"1,566",23,68,46,22,
SPH,Suburban Propane Partners LP,"1,101",457,"1,558",23,68,48,20,
EFII,Electronics For Imaging Inc,805,750,"1,555",23,68,35,33,
AAWW,Atlas Air Worldwide Holdings Inc,959,589,"1,548",23,67,42,26,
SSTK,Shutterstock Inc,487,"1,058","1,545",23,67,21,46,
TWOU,2U Inc,773,769,"1,542",23,67,34,33,
QUIK,QuickLogic Corp,"1,450",91,"1,541",23,67,63,4,
SMTC,Semtech Corp,"1,333",207,"1,540",23,67,58,9,
RUN,Sunrun Inc,"1,474",61,"1,535",23,67,64,3,
SB,Safe Bulkers Inc,"1,473",61,"1,534",23,67,64,3,
ACM,AECOM,991,542,"1,533",23,67,43,24,
VRSN,VeriSign Inc,"1,102",430,"1,532",23,67,48,19,
AMSC,American Superconductor Corp,"1,411",120,"1,531",23,67,61,5,
HDP,Hortonworks Inc,894,634,"1,528",23,66,39,28,
LAMR,Lamar Advertising Co,597,930,"1,527",23,66,26,40,
RNG,RingCentral Inc,"1,067",455,"1,522",23,66,46,20,
BOBE,Bob Evans Farms Inc/DE,854,665,"1,519",23,66,37,29,
GSM,Ferroglobe PLC,"1,348",170,"1,518",23,66,59,7,
AVAV,Aerovironment Inc,"1,049",466,"1,515",23,66,46,20,
RY,Royal Bank of Canada,951,562,"1,513",23,66,41,24,
TIVO,TiVo Corp,835,671,"1,506",23,65,36,29,
TD,Toronto-Dominion Bank/The,"1,173",332,"1,505",23,65,51,14,
STON,StoneMor Partners LP,654,848,"1,502",23,65,28,37,
BIVV,Bioverativ Inc,685,814,"1,499",23,65,30,35,
EXK,Endeavour Silver Corp,"1,175",322,"1,497",23,65,51,14,
CXW,CoreCivic Inc,"1,123",374,"1,497",23,65,49,16,
ELF,elf Beauty Inc,525,970,"1,495",23,65,23,42,
BWA,BorgWarner Inc,880,610,"1,490",23,65,38,27,
ROK,Rockwell Automation Inc,936,553,"1,489",23,65,41,24,
DAR,Darling Ingredients Inc,"1,401",86,"1,487",23,65,61,4,
SYKE,Sykes Enterprises Inc,30,"1,457","1,487",23,65,1,63,
CBG,CBRE Group Inc,796,690,"1,486",23,65,35,30,
EIGI,Endurance International Group Holdings Inc,217,"1,265","1,482",23,64,9,55,
JAZZ,Jazz Pharmaceuticals PLC,"1,162",319,"1,481",23,64,51,14,
QSR,Restaurant Brands International Inc,521,960,"1,481",23,64,23,42,
SHW,Sherwin-Williams Co/The,685,793,"1,478",23,64,30,34,
IDCC,InterDigital Inc/PA,"1,051",419,"1,470",23,64,46,18,
MOH,Molina Healthcare Inc,469,"1,001","1,470",23,64,20,44,
NCR,NCR Corp,731,735,"1,466",23,64,32,32,
STWD,Starwood Property Trust Inc,463,"1,003","1,466",23,64,20,44,
BBD,Banco Bradesco SA,395,"1,067","1,462",23,64,17,46,
EMN,Eastman Chemical Co,848,611,"1,459",23,63,37,27,
KLAC,KLA-Tencor Corp,806,653,"1,459",23,63,35,28,
SRCL,Stericycle Inc,525,934,"1,459",23,63,23,41,
CFG,Citizens Financial Group Inc,858,597,"1,455",23,63,37,26,
NVMI,Nova Measuring Instruments Ltd,809,644,"1,453",23,63,35,28,
SIVB,SVB Financial Group,569,881,"1,450",23,63,25,38,
QIWI,QIWI plc,817,630,"1,447",23,63,36,27,
XBIT,XBiotech Inc,692,749,"1,441",23,63,30,33,
CLX,Clorox Co/The,604,833,"1,437",23,62,26,36,
ATW,Atwood Oceanics Inc,887,543,"1,430",23,62,39,24,
BGC,General Cable Corp,897,523,"1,420",23,62,39,23,
SNP,China Petroleum & Chemical Corp,669,751,"1,420",23,62,29,33,
RMBS,Rambus Inc,"1,105",313,"1,418",23,62,48,14,
BIP,Brookfield Infrastructure Partners LP,319,"1,098","1,417",23,62,14,48,
SVU,SUPERVALU Inc,714,701,"1,415",23,62,31,30,
OTEX,Open Text Corp,564,849,"1,413",23,61,25,37,
SPGI,S&P Global Inc,519,891,"1,410",23,61,23,39,
MGI,MoneyGram International Inc,893,512,"1,405",23,61,39,22,
PTR,PetroChina Co Ltd,"1,135",268,"1,403",23,61,49,12,
BID,Sotheby's,512,891,"1,403",23,61,22,39,
RMTI,Rockwell Medical Inc,"1,206",193,"1,399",23,61,52,8,
TEX,Terex Corp,824,575,"1,399",23,61,36,25,
ABMD,ABIOMED Inc,823,570,"1,393",23,61,36,25,
ICE,Intercontinental Exchange Inc,"1,173",217,"1,390",23,60,51,9,
TGNA,TEGNA Inc,"1,024",366,"1,390",23,60,45,16,
LYG,Lloyds Banking Group PLC,"1,272",117,"1,389",23,60,55,5,
THS,TreeHouse Foods Inc,668,719,"1,387",23,60,29,31,
CTB,Cooper Tire & Rubber Co,"1,229",155,"1,384",23,60,53,7,
ERII,Energy Recovery Inc,"1,165",218,"1,383",23,60,51,9,
TTMI,TTM Technologies Inc,315,"1,062","1,377",23,60,14,46,
ZG,Zillow Group Inc,694,677,"1,371",23,60,30,29,
NVRO,Nevro Corp,"1,136",231,"1,367",23,59,49,10,
GIMO,Gigamon Inc,"1,077",290,"1,367",23,59,47,13,
AMP,Ameriprise Financial Inc,893,473,"1,366",23,59,39,21,
CCC,Calgon Carbon Corp,984,376,"1,360",23,59,43,16,
AMBC,Ambac Financial Group Inc,"1,157",201,"1,358",23,59,50,9,
CIM,Chimera Investment Corp,"1,073",283,"1,356",23,59,47,12,
ERI,Eldorado Resorts Inc,"1,090",263,"1,353",23,59,47,11,
JBHT,JB Hunt Transport Services Inc,883,466,"1,349",23,59,38,20,
NSU,Nevsun Resources Ltd,891,448,"1,339",23,58,39,19,
SAFM,Sanderson Farms Inc,832,504,"1,336",23,58,36,22,
ELY,Callaway Golf Co,"1,045",287,"1,332",23,58,45,12,
SLAB,Silicon Laboratories Inc,236,"1,094","1,330",23,58,10,48,
GERN,Geron Corp,"1,168",158,"1,326",23,58,51,7,
IRWD,Ironwood Pharmaceuticals Inc,"1,007",315,"1,322",23,57,44,14,
LSI,Life Storage Inc,178,"1,140","1,318",23,57,8,50,
NTRI,Nutrisystem Inc,856,459,"1,315",23,57,37,20,
OLLI,Ollie's Bargain Outlet Holdings Inc,514,799,"1,313",23,57,22,35,
SAM,Boston Beer Co Inc/The,767,543,"1,310",23,57,33,24,
HRTG,Heritage Insurance Holdings Inc,323,986,"1,309",23,57,14,43,
CHUBK,CommerceHub Inc,"1,060",245,"1,305",23,57,46,11,
ARWR,Arrowhead Pharmaceuticals Inc,"1,229",75,"1,304",23,57,53,3,
MSTR,MicroStrategy Inc,599,705,"1,304",23,57,26,31,
USAT,USA Technologies Inc,"1,285",17,"1,302",23,57,56,1,
SNAK,Inventure Foods Inc,"1,046",253,"1,299",23,56,45,11,
TSS,Total System Services Inc,"1,182",105,"1,287",23,56,51,5,
CBRL,Cracker Barrel Old Country Store Inc,"1,086",199,"1,285",23,56,47,9,
TTPH,Tetraphase Pharmaceuticals Inc,985,297,"1,282",23,56,43,13,
XOG,Extraction Oil & Gas Inc,"1,145",134,"1,279",23,56,50,6,
ING,ING Groep NV,975,285,"1,260",23,55,42,12,
SNI,Scripps Networks Interactive Inc,288,971,"1,259",23,55,13,42,
MANH,Manhattan Associates Inc,226,"1,031","1,257",23,55,10,45,
CVA,Covanta Holding Corp,702,554,"1,256",23,55,31,24,
RSPP,RSP Permian Inc,601,655,"1,256",23,55,26,28,
MIC,Macquarie Infrastructure Corp,462,794,"1,256",23,55,20,35,
VRAY,ViewRay Inc,"1,015",239,"1,254",23,55,44,10,
IRM,Iron Mountain Inc,568,686,"1,254",23,55,25,30,
IMMR,Immersion Corp,"1,201",48,"1,249",23,54,52,2,
LVLT,Level 3 Communications Inc,503,742,"1,245",23,54,22,32,
SUPN,Supernus Pharmaceuticals Inc,794,448,"1,242",23,54,35,19,
IBN,ICICI Bank Ltd,"1,040",195,"1,235",23,54,45,8,
HK,Halcon Resources Corp,702,525,"1,227",23,53,31,23,
SSRI,SSR Mining Inc,603,623,"1,226",23,53,26,27,
DVMT,Dell Technologies Inc Class V,"1,018",206,"1,224",23,53,44,9,
WING,Wingstop Inc,722,502,"1,224",23,53,31,22,
AMX,America Movil SAB de CV,977,246,"1,223",23,53,42,11,
CQP,Cheniere Energy Partners LP,510,712,"1,222",23,53,22,31,
MMC,Marsh & McLennan Cos Inc,"1,063",154,"1,217",23,53,46,7,
NYMX,Nymox Pharmaceutical Corp,766,451,"1,217",23,53,33,20,
SGEN,Seattle Genetics Inc,832,382,"1,214",23,53,36,17,
CAVM,Cavium Inc,785,425,"1,210",23,53,34,18,
NTLA,Intellia Therapeutics Inc,880,328,"1,208",23,53,38,14,
AKAO,Achaogen Inc,836,370,"1,206",23,52,36,16,
OKTA,Okta Inc,778,427,"1,205",23,52,34,19,
IPGP,IPG Photonics Corp,743,461,"1,204",23,52,32,20,
ALKS,Alkermes PLC,287,916,"1,203",23,52,12,40,
AMAG,AMAG Pharmaceuticals Inc,662,540,"1,202",23,52,29,23,
OC,Owens Corning,825,374,"1,199",23,52,36,16,
BRG,Bluerock Residential Growth REIT Inc,761,435,"1,196",23,52,33,19,
DXCM,DexCom Inc,814,378,"1,192",23,52,35,16,
NTGR,NETGEAR Inc,"1,108",82,"1,190",23,52,48,4,
CALA,Calithera Biosciences Inc,978,212,"1,190",23,52,43,9,
UNXL,Uni-Pixel Inc,863,325,"1,188",23,52,38,14,
SWK,Stanley Black & Decker Inc,688,494,"1,182",23,51,30,21,
NMM,Navios Maritime Partners LP,"1,102",78,"1,180",23,51,48,3,
PRAA,PRA Group Inc,341,837,"1,178",23,51,15,36,
IDXX,IDEXX Laboratories Inc,315,861,"1,176",23,51,14,37,
NDSN,Nordson Corp,347,826,"1,173",23,51,15,36,
TRMB,Trimble Inc,710,462,"1,172",23,51,31,20,
WWE,World Wrestling Entertainment Inc,"1,142",26,"1,168",23,51,50,1,
HLX,Helix Energy Solutions Group Inc,824,337,"1,161",23,50,36,15,
KS,KapStone Paper and Packaging Corp,"1,088",66,"1,154",23,50,47,3,
PERY,Perry Ellis International Inc,266,886,"1,152",23,50,12,39,
RLGY,Realogy Holdings Corp,713,435,"1,148",23,50,31,19,
SIMO,Silicon Motion Technology Corp,923,222,"1,145",23,50,40,10,
AJRD,Aerojet Rocketdyne Holdings Inc,887,257,"1,144",23,50,39,11,
LBTYA,Liberty Global PLC,645,497,"1,142",23,50,28,22,
OA,Orbital ATK Inc,841,297,"1,138",23,49,37,13,
XONE,ExOne Co/The,730,407,"1,137",23,49,32,18,
SSP,EW Scripps Co/The,411,725,"1,136",23,49,18,32,
SCG,SCANA Corp,795,340,"1,135",23,49,35,15,
IFF,International Flavors & Fragrances Inc,705,430,"1,135",23,49,31,19,
CRMT,America's Car-Mart Inc/TX,145,989,"1,134",23,49,6,43,
EVBG,Everbridge Inc,"1,073",55,"1,128",23,49,47,2,
NSM,Nationstar Mortgage Holdings Inc,"1,066",60,"1,126",23,49,46,3,
MIDD,Middleby Corp/The,845,281,"1,126",23,49,37,12,
CDK,CDK Global Inc,400,726,"1,126",23,49,17,32,
EQIX,Equinix Inc,442,678,"1,120",23,49,19,29,
CLDX,Celldex Therapeutics Inc,769,348,"1,117",23,49,33,15,
AR,Antero Resources Corp,797,317,"1,114",23,48,35,14,
EV,Eaton Vance Corp,516,595,"1,111",23,48,22,26,
SXCP,SunCoke Energy Partners LP,923,187,"1,110",23,48,40,8,
ZBRA,Zebra Technologies Corp,640,470,"1,110",23,48,28,20,
ATHN,athenahealth Inc,642,466,"1,108",23,48,28,20,
HBM,Hudbay Minerals Inc,587,519,"1,106",23,48,26,23,
SGRY,Surgery Partners Inc,829,275,"1,104",23,48,36,12,
MULE,MuleSoft Inc,574,527,"1,101",23,48,25,23,
PTX,Pernix Therapeutics Holdings Inc,945,152,"1,097",23,48,41,7,
AMCN,AirMedia Group Inc,"1,005",90,"1,095",23,48,44,4,
MHLD,Maiden Holdings Ltd,724,370,"1,094",23,48,31,16,
CLLS,Cellectis SA,691,399,"1,090",23,47,30,17,
AMPE,Ampio Pharmaceuticals Inc,"1,090",0,"1,090",23,47,47,0,
CDEV,Centennial Resource Development Inc/DE,966,119,"1,085",23,47,42,5,
PEGI,Pattern Energy Group Inc,905,179,"1,084",23,47,39,8,
BLDR,Builders FirstSource Inc,673,411,"1,084",23,47,29,18,
DSX,Diana Shipping Inc,910,169,"1,079",23,47,40,7,
SPPI,Spectrum Pharmaceuticals Inc,"1,002",76,"1,078",23,47,44,3,
PEG,Public Service Enterprise Group Inc,494,584,"1,078",23,47,21,25,
EGOV,NIC Inc,844,230,"1,074",23,47,37,10,
EVHC,Envision Healthcare Corp,522,552,"1,074",23,47,23,24,
NVTA,Invitae Corp,715,356,"1,071",23,47,31,15,
AMID,American Midstream Partners LP,480,591,"1,071",23,47,21,26,
UBS,UBS Group AG,372,698,"1,070",23,47,16,30,
MTDR,Matador Resources Co,901,168,"1,069",23,46,39,7,
ASNA,Ascena Retail Group Inc,317,752,"1,069",23,46,14,33,
IPG,Interpublic Group of Cos Inc/The,630,438,"1,068",23,46,27,19,
BANC,Banc of California Inc,562,506,"1,068",23,46,24,22,
FTK,Flotek Industries Inc,725,335,"1,060",23,46,32,15,
WGO,Winnebago Industries Inc,461,598,"1,059",23,46,20,26,
WRD,WildHorse Resource Development Corp,28,"1,030","1,058",23,46,1,45,
BWXT,BWX Technologies Inc,"1,009",48,"1,057",23,46,44,2,
SNY,Sanofi,633,424,"1,057",23,46,28,18,
LXFT,Luxoft Holding Inc,724,324,"1,048",23,46,31,14,
WWW,Wolverine World Wide Inc,515,532,"1,047",23,46,22,23,
CMRE,Costamare Inc,571,474,"1,045",23,45,25,21,
HEI,HEICO Corp,520,524,"1,044",23,45,23,23,
ECL,Ecolab Inc,680,363,"1,043",23,45,30,16,
SFUN,Fang Holdings Ltd,568,475,"1,043",23,45,25,21,
DCP,DCP Midstream LP,911,130,"1,041",23,45,40,6,
LOGI,Logitech International SA,369,671,"1,040",23,45,16,29,
ASB,Associated Banc-Corp,"1,001",29,"1,030",23,45,44,1,
CFX,Colfax Corp,844,185,"1,029",23,45,37,8,
GPRE,Green Plains Inc,650,376,"1,026",23,45,28,16,
SBH,Sally Beauty Holdings Inc,191,833,"1,024",23,45,8,36,
LOCO,El Pollo Loco Holdings Inc,779,244,"1,023",23,44,34,11,
HTHT,China Lodging Group Ltd,532,491,"1,023",23,44,23,21,
GOGL,Golden Ocean Group Ltd,886,133,"1,019",23,44,39,6,
MMYT,MakeMyTrip Ltd,647,372,"1,019",23,44,28,16,
KAR,KAR Auction Services Inc,"1,011",6,"1,017",23,44,44,0,
PRLB,Proto Labs Inc,98,918,"1,016",23,44,4,40,
USAC,USA Compression Partners LP,402,612,"1,014",23,44,17,27,
LPI,Laredo Petroleum Inc,827,185,"1,012",23,44,36,8,
TROW,T Rowe Price Group Inc,754,253,"1,007",23,44,33,11,
CVE,Cenovus Energy Inc,645,362,"1,007",23,44,28,16,
FIVN,Five9 Inc,936,70,"1,006",23,44,41,3,
LN,LINE Corp,734,271,"1,005",23,44,32,12,
CWH,Camping World Holdings Inc,851,151,"1,002",23,44,37,7,
CUR,Neuralstem Inc,344,656,"1,000",23,43,15,29,
NHTC,Natural Health Trends Corp,141,858,999,23,43,6,37,
MRC,MRC Global Inc,39,958,997,23,43,2,42,
VCYT,Veracyte Inc,634,359,993,23,43,28,16,
IRTC,iRhythm Technologies Inc,453,534,987,23,43,20,23,
HUBS,HubSpot Inc,646,340,986,23,43,28,15,
PACB,Pacific Biosciences of California Inc,560,425,985,23,43,24,18,
CNDT,Conduent Inc,781,203,984,23,43,34,9,
AGIO,Agios Pharmaceuticals Inc,679,304,983,23,43,30,13,
KANG,iKang Healthcare Group Inc,971,10,981,23,43,42,0,
KN,Knowles Corp,419,562,981,23,43,18,24,
MDR,McDermott International Inc,520,458,978,23,43,23,20,
RFP,Resolute Forest Products Inc,931,46,977,23,42,40,2,
WDR,Waddell & Reed Financial Inc,742,233,975,23,42,32,10,
TREE,LendingTree Inc,480,492,972,23,42,21,21,
KIM,Kimco Realty Corp,666,303,969,23,42,29,13,
IIVI,II-VI Inc,666,302,968,23,42,29,13,
GPN,Global Payments Inc,644,324,968,23,42,28,14,
PKG,Packaging Corp of America,626,342,968,23,42,27,15,
TUP,Tupperware Brands Corp,343,622,965,23,42,15,27,
BSM,Black Stone Minerals LP,934,28,962,23,42,41,1,
CALL,magicJack VocalTec Ltd,801,161,962,23,42,35,7,
CP,Canadian Pacific Railway Ltd,504,458,962,23,42,22,20,
AL,Air Lease Corp,775,186,961,23,42,34,8,
EVEP,EV Energy Partners LP,960,0,960,23,42,42,0,
CGIX,Cancer Genetics Inc,940,15,955,23,42,41,1,
AVXL,Anavex Life Sciences Corp,764,191,955,23,42,33,8,
TTS,Tile Shop Holdings Inc,845,98,943,23,41,37,4,
LEA,Lear Corp,608,332,940,23,41,26,14,
AREX,Approach Resources Inc,433,506,939,23,41,19,22,
GHL,Greenhill & Co Inc,536,401,937,23,41,23,17,
SMG,Scotts Miracle-Gro Co/The,678,257,935,23,41,29,11,
EHTH,eHealth Inc,806,125,931,23,40,35,5,
HRTX,Heron Therapeutics Inc,627,304,931,23,40,27,13,
AVXS,Avexis Inc,410,521,931,23,40,18,23,
CLNS,Colony NorthStar Inc,712,214,926,23,40,31,9,
ADNT,Adient PLC,651,259,910,23,40,28,11,
EVRI,Everi Holdings Inc,792,116,908,23,39,34,5,
ALDR,Alder Biopharmaceuticals Inc,711,195,906,23,39,31,8,
QUAD,Quad/Graphics Inc,570,331,901,23,39,25,14,
HOS,Hornbeck Offshore Services Inc,484,416,900,23,39,21,18,
CNK,Cinemark Holdings Inc,331,565,896,23,39,14,25,
LOXO,Loxo Oncology Inc,683,212,895,23,39,30,9,
LKQ,LKQ Corp,847,46,893,23,39,37,2,
OMEX,Odyssey Marine Exploration Inc,658,235,893,23,39,29,10,
VLRS,Controladora Vuela Cia de Aviacion SAB de CV,95,795,890,23,39,4,35,
GEL,Genesis Energy LP,560,326,886,23,39,24,14,
MHK,Mohawk Industries Inc,576,308,884,23,38,25,13,
GGB,Gerdau SA,689,186,875,23,38,30,8,
NEWR,New Relic Inc,695,177,872,23,38,30,8,
PAM,Pampa Energia SA,531,341,872,23,38,23,15,
LJPC,La Jolla Pharmaceutical Co,403,469,872,23,38,18,20,
FBR,Fibria Celulose SA,657,212,869,23,38,29,9,
JOBS,51job Inc,442,427,869,23,38,19,19,
CYTK,Cytokinetics Inc,281,588,869,23,38,12,26,
REN,Resolute Energy Corp,698,169,867,23,38,30,7,
VER,VEREIT Inc,713,153,866,23,38,31,7,
CLNE,Clean Energy Fuels Corp,783,81,864,23,38,34,4,
HST,Host Hotels & Resorts Inc,177,686,863,23,38,8,30,
AGEN,Agenus Inc,742,118,860,23,37,32,5,
FISV,Fiserv Inc,501,355,856,23,37,22,15,
AXTI,AXT Inc,709,139,848,23,37,31,6,
BDSI,BioDelivery Sciences International Inc,642,203,845,23,37,28,9,
NBIX,Neurocrine Biosciences Inc,718,125,843,23,37,31,5,
LSXMA,Liberty Media Corp-Liberty SiriusXM,304,536,840,23,37,13,23,
BRKS,Brooks Automation Inc,729,110,839,23,36,32,5,
LPCN,Lipocine Inc,184,655,839,23,36,8,28,
WTI,W&T Offshore Inc,553,285,838,23,36,24,12,
VECO,Veeco Instruments Inc,177,660,837,23,36,8,29,
FRGI,Fiesta Restaurant Group Inc,103,729,832,23,36,4,32,
CALM,Cal-Maine Foods Inc,296,534,830,23,36,13,23,
LGCY,Legacy Reserves LP,823,6,829,23,36,36,0,
OCUL,Ocular Therapeutix Inc,576,253,829,23,36,25,11,
VOYA,Voya Financial Inc,241,588,829,23,36,10,26,
RDN,Radian Group Inc,430,396,826,23,36,19,17,
EEP,Enbridge Energy Partners LP,493,331,824,23,36,21,14,
INAP,Internap Corp,716,105,821,23,36,31,5,
AME,AMETEK Inc,131,690,821,23,36,6,30,
CCE,Coca-Cola European Partners PLC,237,583,820,23,36,10,25,
WAT,Waters Corp,44,775,819,23,36,2,34,
HEES,H&E Equipment Services Inc,656,160,816,23,35,29,7,
RE,Everest Re Group Ltd,162,648,810,23,35,7,28,
GIII,G-III Apparel Group Ltd,625,184,809,23,35,27,8,
MCO,Moody's Corp,413,396,809,23,35,18,17,
BFB,Brown-Forman Corp,763,45,808,23,35,33,2,
ECHO,Echo Global Logistics Inc,545,261,806,23,35,24,11,
PHH,PHH Corp,451,355,806,23,35,20,15,
SCSS,Select Comfort Corp,303,501,804,23,35,13,22,
CRI,Carter's Inc,674,126,800,23,35,29,5,
ACOR,Acorda Therapeutics Inc,575,222,797,23,35,25,10,
WPG,Washington Prime Group Inc,218,579,797,23,35,9,25,
VRTV,Veritiv Corp,512,283,795,23,35,22,12,
CGI,Celadon Group Inc,766,28,794,23,35,33,1,
EPR,EPR Properties,351,442,793,23,34,15,19,
EBIX,Ebix Inc,347,444,791,23,34,15,19,
SD,SandRidge Energy Inc,788,2,790,23,34,34,0,
FLXN,Flexion Therapeutics Inc,610,179,789,23,34,27,8,
TDC,Teradata Corp,745,43,788,23,34,32,2,
NS,NuStar Energy LP,466,322,788,23,34,20,14,
EXP,Eagle Materials Inc,575,211,786,23,34,25,9,
MXL,MaxLinear Inc,355,431,786,23,34,15,19,
HOV,Hovnanian Enterprises Inc,666,119,785,23,34,29,5,
BMO,Bank of Montreal,475,310,785,23,34,21,13,
PLX,Protalix BioTherapeutics Inc,780,4,784,23,34,34,0,
LBRDA,Liberty Broadband Corp,696,88,784,23,34,30,4,
AMRS,Amyris Inc,676,108,784,23,34,29,5,
CEMP,Cempra Inc,531,253,784,23,34,23,11,
AIZ,Assurant Inc,475,309,784,23,34,21,13,
WBMD,WebMD Health Corp,569,214,783,23,34,25,9,
SNR,New Senior Investment Group Inc,584,197,781,23,34,25,9,
JASO,JA Solar Holdings Co Ltd,648,132,780,23,34,28,6,
ULTI,Ultimate Software Group Inc/The,453,321,774,23,34,20,14,
MPW,Medical Properties Trust Inc,300,474,774,23,34,13,21,
CUTR,Cutera Inc,733,40,773,23,34,32,2,
CMP,Compass Minerals International Inc,274,498,772,23,34,12,22,
NLNK,NewLink Genetics Corp,586,181,767,23,33,25,8,
STRL,Sterling Construction Co Inc,747,18,765,23,33,32,1,
KBR,KBR Inc,718,47,765,23,33,31,2,
PEIX,Pacific Ethanol Inc,438,324,762,23,33,19,14,
ELLI,Ellie Mae Inc,344,418,762,23,33,15,18,
ARCO,Arcos Dorados Holdings Inc,636,125,761,23,33,28,5,
TCO,Taubman Centers Inc,202,558,760,23,33,9,24,
RUBI,Rubicon Project Inc/The,589,169,758,23,33,26,7,
MOV,Movado Group Inc,147,604,751,23,33,6,26,
VAC,Marriott Vacations Worldwide Corp,410,340,750,23,33,18,15,
MC,Moelis & Co,442,307,749,23,33,19,13,
GLYC,GlycoMimetics Inc,372,375,747,23,32,16,16,
LNC,Lincoln National Corp,415,331,746,23,32,18,14,
MAN,ManpowerGroup Inc,228,518,746,23,32,10,23,
ENT,Global Eagle Entertainment Inc,497,247,744,23,32,22,11,
TRU,TransUnion,457,283,740,23,32,20,12,
VGR,Vector Group Ltd,338,402,740,23,32,15,17,
ERJ,Embraer SA,549,189,738,23,32,24,8,
FRED,Fred's Inc,535,199,734,23,32,23,9,
SYT,Syngenta AG,237,496,733,23,32,10,22,
AVID,Avid Technology Inc,69,664,733,23,32,3,29,
CCXI,ChemoCentryx Inc,681,49,730,23,32,30,2,
OSUR,OraSure Technologies Inc,543,186,729,23,32,24,8,
LLL,L3 Technologies Inc,481,248,729,23,32,21,11,
ASH,Ashland Global Holdings Inc,572,156,728,23,32,25,7,
SUM,Summit Materials Inc,623,99,722,23,31,27,4,
TEL,TE Connectivity Ltd,591,131,722,23,31,26,6,
HII,Huntington Ingalls Industries Inc,326,395,721,23,31,14,17,
WIFI,Boingo Wireless Inc,163,557,720,23,31,7,24,
GLOP,GasLog Partners LP,325,393,718,23,31,14,17,
CDZI,Cadiz Inc,537,179,716,23,31,23,8,
AVA,Avista Corp,41,675,716,23,31,2,29,
ENLK,EnLink Midstream Partners LP,571,143,714,23,31,25,6,
CYOU,Changyou.com Ltd,368,346,714,23,31,16,15,
CPA,Copa Holdings SA,301,412,713,23,31,13,18,
KPTI,Karyopharm Therapeutics Inc,677,30,707,23,31,29,1,
ASPS,Altisource Portfolio Solutions SA,330,372,702,23,31,14,16,
LDOS,Leidos Holdings Inc,213,488,701,23,30,9,21,
KMT,Kennametal Inc,604,96,700,23,30,26,4,
AEIS,Advanced Energy Industries Inc,430,270,700,23,30,19,12,
VVV,Valvoline Inc,416,279,695,23,30,18,12,
LOGM,LogMeIn Inc,497,196,693,23,30,22,9,
BOJA,Bojangles' Inc,389,304,693,23,30,17,13,
SCVL,Shoe Carnival Inc,213,478,691,23,30,9,21,
TWNK,Hostess Brands Inc,558,132,690,23,30,24,6,
ENR,Energizer Holdings Inc,513,176,689,23,30,22,8,
BLDP,Ballard Power Systems Inc,467,219,686,23,30,20,10,
MLNX,Mellanox Technologies Ltd,465,220,685,23,30,20,10,
FLIR,FLIR Systems Inc,598,85,683,23,30,26,4,
INGN,Inogen Inc,381,302,683,23,30,17,13,
PRTA,Prothena Corp PLC,369,312,681,23,30,16,14,
FRPT,Freshpet Inc,182,499,681,23,30,8,22,
GEF,Greif Inc,614,65,679,23,30,27,3,
JEC,Jacobs Engineering Group Inc,355,323,678,23,29,15,14,
UEC,Uranium Energy Corp,458,215,673,23,29,20,9,
WLTW,Willis Towers Watson PLC,27,640,667,23,29,1,28,
BECN,Beacon Roofing Supply Inc,53,612,665,23,29,2,27,
GLOG,GasLog Ltd,620,43,663,23,29,27,2,
AQMS,Aqua Metals Inc,577,86,663,23,29,25,4,
UAN,CVR Partners LP,335,328,663,23,29,15,14,
PCG,PG&E Corp,641,17,658,23,29,28,1,
MEOH,Methanex Corp,586,72,658,23,29,25,3,
SRE,Sempra Energy,531,126,657,23,29,23,5,
CRCM,Care.com Inc,587,69,656,23,29,26,3,
SREV,ServiceSource International Inc,576,80,656,23,29,25,3,
PFGC,Performance Food Group Co,520,135,655,23,28,23,6,
VVUS,VIVUS Inc,308,345,653,23,28,13,15,
MYCC,ClubCorp Holdings Inc,100,551,651,23,28,4,24,
GBX,Greenbrier Cos Inc/The,385,264,649,23,28,17,11,
R,Ryder System Inc,564,82,646,23,28,25,4,
TGI,Triumph Group Inc,593,51,644,23,28,26,2,
