Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
TSM,Taiwan Semiconductor Manufacturing Co Ltd,"2,109",747,"2,856",23,124,92,32,
SNCR,Synchronoss Technologies Inc,407,"2,441","2,848",23,124,18,106,
PH,Parker-Hannifin Corp,"1,047","1,797","2,844",23,124,46,78,
PLCE,Children's Place Inc/The,"1,742","1,092","2,834",23,123,76,47,
MTW,Manitowoc Co Inc/The,"1,846",986,"2,832",23,123,80,43,
SAN,Banco Santander SA,"1,544","1,279","2,823",23,123,67,56,
SSYS,Stratasys Ltd,"1,563","1,242","2,805",23,122,68,54,
SORL,SORL Auto Parts Inc,"1,761","1,016","2,777",23,121,77,44,
CTAS,Cintas Corp,"2,508",265,"2,773",23,121,109,12,
CTRL,Control4 Corp,"1,972",800,"2,772",23,121,86,35,
YUMC,Yum China Holdings Inc,"2,132",626,"2,758",23,120,93,27,
RYAM,Rayonier Advanced Materials Inc,"1,311","1,447","2,758",23,120,57,63,
BZH,Beazer Homes USA Inc,"1,841",915,"2,756",23,120,80,40,
GMED,Globus Medical Inc,"2,247",491,"2,738",23,119,98,21,
BEAT,BioTelemetry Inc,"1,888",849,"2,737",23,119,82,37,
BKE,Buckle Inc/The,512,"2,219","2,731",23,119,22,96,
TSEM,Tower Semiconductor Ltd,"1,793",925,"2,718",23,118,78,40,
RPM,RPM International Inc,"1,513","1,202","2,715",23,118,66,52,
HLT,Hilton Worldwide Holdings Inc,627,"2,087","2,714",23,118,27,91,
GPC,Genuine Parts Co,"1,537","1,147","2,684",23,117,67,50,
BRS,Bristow Group Inc,"2,480",202,"2,682",23,117,108,9,
TK,Teekay Corp,"1,522","1,158","2,680",23,117,66,50,
GGAL,Grupo Financiero Galicia SA,"1,951",692,"2,643",23,115,85,30,
MIK,Michaels Cos Inc/The,"2,339",298,"2,637",23,115,102,13,
CG,Carlyle Group LP/The,"2,363",269,"2,632",23,114,103,12,
VNO,Vornado Realty Trust,"1,664",956,"2,620",23,114,72,42,
DYN,Dynegy Inc,"1,951",659,"2,610",23,113,85,29,
MAC,Macerich Co/The,"1,773",820,"2,593",23,113,77,36,
RENN,Renren Inc,"2,109",483,"2,592",23,113,92,21,
