Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV
AAPL,Apple Inc,"1,446,115","780,424","2,226,539",19,"117,186","76,111","41,075"
BAC,Bank of America Corp,"909,345","303,023","1,212,368",19,"63,809","47,860","15,949"
FB,Facebook Inc,"731,113","433,098","1,164,211",19,"61,274","38,480","22,795"
NVDA,NVIDIA Corp,"350,143","319,507","669,650",19,"35,245","18,429","16,816"
TSLA,Tesla Inc,"320,276","293,661","613,937",19,"32,312","16,857","15,456"
AMD,Advanced Micro Devices Inc,"372,719","212,223","584,942",19,"30,786","19,617","11,170"
AMZN,Amazon.com Inc,"283,080","299,768","582,848",19,"30,676","14,899","15,777"
TWTR,Twitter Inc,"242,702","164,480","407,182",19,"21,431","12,774","8,657"
BABA,Alibaba Group Holding Ltd,"254,114","131,342","385,456",19,"20,287","13,374","6,913"
PFE,Pfizer Inc,"202,826","153,491","356,317",19,"18,754","10,675","8,078"
FCX,Freeport-McMoRan Inc,"184,397","166,727","351,124",19,"18,480","9,705","8,775"
NFLX,Netflix Inc,"183,443","157,817","341,260",19,"17,961","9,655","8,306"
MSFT,Microsoft Corp,"218,761","114,396","333,157",19,"17,535","11,514","6,021"
X,United States Steel Corp,"189,071","143,967","333,038",19,"17,528","9,951","7,577"
CSCO,Cisco Systems Inc,"234,954","85,819","320,773",19,"16,883","12,366","4,517"
C,Citigroup Inc,"185,697","100,819","286,516",19,"15,080","9,774","5,306"
JPM,JPMorgan Chase & Co,"148,090","137,338","285,428",19,"15,023","7,794","7,228"
VRX,Valeant Pharmaceuticals International Inc,"179,057","105,716","284,773",19,"14,988","9,424","5,564"
CHK,Chesapeake Energy Corp,"212,173","54,762","266,935",19,"14,049","11,167","2,882"
GILD,Gilead Sciences Inc,"163,388","95,895","259,283",19,"13,646","8,599","5,047"
BMY,Bristol-Myers Squibb Co,"167,282","54,939","222,221",19,"11,696","8,804","2,892"
MU,Micron Technology Inc,"141,147","71,294","212,441",19,"11,181","7,429","3,752"
DIS,Walt Disney Co/The,"131,842","79,916","211,758",19,"11,145","6,939","4,206"
VZ,Verizon Communications Inc,"124,246","81,378","205,624",19,"10,822","6,539","4,283"
GS,Goldman Sachs Group Inc/The,"119,189","80,934","200,123",19,"10,533","6,273","4,260"
XOM,Exxon Mobil Corp,"101,075","97,557","198,632",19,"10,454","5,320","5,135"
GM,General Motors Co,"117,062","78,433","195,495",19,"10,289","6,161","4,128"
CLF,Cliffs Natural Resources Inc,"122,954","56,430","179,384",19,"9,441","6,471","2,970"
RAD,Rite Aid Corp,"67,783","103,843","171,626",19,"9,033","3,568","5,465"
WFC,Wells Fargo & Co,"84,685","69,118","153,803",19,"8,095","4,457","3,638"
WMT,Wal-Mart Stores Inc,"75,237","78,259","153,496",19,"8,079","3,960","4,119"
INTC,Intel Corp,"98,537","49,357","147,894",19,"7,784","5,186","2,598"
KO,Coca-Cola Co/The,"98,695","48,273","146,968",19,"7,735","5,194","2,541"
GOOGL,Alphabet Inc,"70,353","68,672","139,025",19,"7,317","3,703","3,614"
MGM,MGM Resorts International,"112,566","25,300","137,866",19,"7,256","5,925","1,332"
GE,General Electric Co,"86,064","46,686","132,750",19,"6,987","4,530","2,457"
QCOM,QUALCOMM Inc,"89,725","41,121","130,846",19,"6,887","4,722","2,164"
T,AT&T Inc,"75,608","52,744","128,352",19,"6,755","3,979","2,776"
PCLN,Priceline Group Inc/The,"61,203","65,965","127,168",19,"6,693","3,221","3,472"
JCP,JC Penney Co Inc,"71,865","47,670","119,535",19,"6,291","3,782","2,509"
TEVA,Teva Pharmaceutical Industries Ltd,"61,853","57,329","119,182",19,"6,273","3,255","3,017"
ABX,Barrick Gold Corp,"80,432","38,547","118,979",19,"6,262","4,233","2,029"
CRM,salesforce.com Inc,"83,159","35,133","118,292",19,"6,226","4,377","1,849"
F,Ford Motor Co,"66,769","45,044","111,813",19,"5,885","3,514","2,371"
AAL,American Airlines Group Inc,"74,772","35,994","110,766",19,"5,830","3,935","1,894"
HD,Home Depot Inc/The,"61,641","48,556","110,197",19,"5,800","3,244","2,556"
TGT,Target Corp,"49,321","57,498","106,819",19,"5,622","2,596","3,026"
CVX,Chevron Corp,"67,920","35,413","103,333",19,"5,439","3,575","1,864"
M,Macy's Inc,"60,239","42,178","102,417",19,"5,390","3,170","2,220"
ATVI,Activision Blizzard Inc,"47,510","52,012","99,522",19,"5,238","2,501","2,737"
CAT,Caterpillar Inc,"44,329","54,981","99,310",19,"5,227","2,333","2,894"
VALE,Vale SA,"54,629","41,171","95,800",19,"5,042","2,875","2,167"
CELG,Celgene Corp,"68,886","25,980","94,866",19,"4,993","3,626","1,367"
AKS,AK Steel Holding Corp,"66,208","27,869","94,077",19,"4,951","3,485","1,467"
SBUX,Starbucks Corp,"55,488","38,184","93,672",19,"4,930","2,920","2,010"
JNJ,Johnson & Johnson,"61,625","29,465","91,090",19,"4,794","3,243","1,551"
V,Visa Inc,"60,169","30,039","90,208",19,"4,748","3,167","1,581"
