Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV
AAPL,Apple Inc,"1,474,662","877,716","2,352,378",23,"102,277","64,116","38,162"
BAC,Bank of America Corp,"1,577,870","521,652","2,099,522",23,"91,284","68,603","22,681"
FB,Facebook Inc,"633,089","373,671","1,006,760",23,"43,772","27,526","16,247"
AMD,Advanced Micro Devices Inc,"515,653","272,573","788,226",23,"34,271","22,420","11,851"
AMZN,Amazon.com Inc,"291,050","321,682","612,732",23,"26,641","12,654","13,986"
TSLA,Tesla Inc,"309,730","300,257","609,987",23,"26,521","13,467","13,055"
NVDA,NVIDIA Corp,"332,190","251,843","584,033",23,"25,393","14,443","10,950"
MU,Micron Technology Inc,"433,241","142,229","575,470",23,"25,020","18,837","6,184"
BABA,Alibaba Group Holding Ltd,"312,573","157,745","470,318",23,"20,449","13,590","6,858"
NFLX,Netflix Inc,"226,782","234,577","461,359",23,"20,059","9,860","10,199"
JPM,JPMorgan Chase & Co,"227,102","187,351","414,453",23,"18,020","9,874","8,146"
MSFT,Microsoft Corp,"245,696","142,233","387,929",23,"16,866","10,682","6,184"
VRX,Valeant Pharmaceuticals International Inc,"219,787","157,302","377,089",23,"16,395","9,556","6,839"
C,Citigroup Inc,"235,014","131,815","366,829",23,"15,949","10,218","5,731"
X,United States Steel Corp,"178,272","143,875","322,147",23,"14,006","7,751","6,255"
F,Ford Motor Co,"208,104","104,035","312,139",23,"13,571","9,048","4,523"
SNAP,Snap Inc,"169,128","131,443","300,571",16,"18,786","10,571","8,215"
TWTR,Twitter Inc,"187,188","87,098","274,286",23,"11,925","8,139","3,787"
FCX,Freeport-McMoRan Inc,"180,573","84,866","265,439",23,"11,541","7,851","3,690"
INTC,Intel Corp,"172,579","83,475","256,054",23,"11,133","7,503","3,629"
GM,General Motors Co,"164,533","90,406","254,939",23,"11,084","7,154","3,931"
GS,Goldman Sachs Group Inc/The,"127,299","109,211","236,510",23,"10,283","5,535","4,748"
XOM,Exxon Mobil Corp,"144,380","92,091","236,471",23,"10,281","6,277","4,004"
DIS,Walt Disney Co/The,"151,490","71,421","222,911",23,"9,692","6,587","3,105"
CHK,Chesapeake Energy Corp,"157,076","49,106","206,182",23,"8,964","6,829","2,135"
PFE,Pfizer Inc,"123,421","73,308","196,729",23,"8,553","5,366","3,187"
GOOGL,Alphabet Inc,"97,112","98,150","195,262",23,"8,490","4,222","4,267"
T,AT&T Inc,"121,681","67,489","189,170",23,"8,225","5,290","2,934"
CSCO,Cisco Systems Inc,"115,858","67,722","183,580",23,"7,982","5,037","2,944"
CAT,Caterpillar Inc,"73,528","109,801","183,329",23,"7,971","3,197","4,774"
AAL,American Airlines Group Inc,"115,617","64,910","180,527",23,"7,849","5,027","2,822"
NKE,NIKE Inc,"94,595","85,317","179,912",23,"7,822","4,113","3,709"
GE,General Electric Co,"121,680","53,782","175,462",23,"7,629","5,290","2,338"
ORCL,Oracle Corp,"111,743","59,275","171,018",23,"7,436","4,858","2,577"
GILD,Gilead Sciences Inc,"99,507","67,856","167,363",23,"7,277","4,326","2,950"
JCP,JC Penney Co Inc,"98,493","68,092","166,585",23,"7,243","4,282","2,961"
WFC,Wells Fargo & Co,"91,037","72,565","163,602",23,"7,113","3,958","3,155"
RAD,Rite Aid Corp,"91,257","70,942","162,199",23,"7,052","3,968","3,084"
MET,MetLife Inc,"116,455","38,802","155,257",23,"6,750","5,063","1,687"
GOOG,Alphabet Inc,"84,204","68,998","153,202",23,"6,661","3,661","3,000"
BMY,Bristol-Myers Squibb Co,"91,212","61,026","152,238",23,"6,619","3,966","2,653"
SBUX,Starbucks Corp,"88,804","58,362","147,166",23,"6,399","3,861","2,537"
DAL,Delta Air Lines Inc,"98,268","44,513","142,781",23,"6,208","4,273","1,935"
PCLN,Priceline Group Inc/The,"66,854","75,686","142,540",23,"6,197","2,907","3,291"
VALE,Vale SA,"69,503","70,139","139,642",23,"6,071","3,022","3,050"
TGT,Target Corp,"72,872","63,054","135,926",23,"5,910","3,168","2,741"
CRM,salesforce.com Inc,"84,868","50,570","135,438",23,"5,889","3,690","2,199"
ABX,Barrick Gold Corp,"92,436","40,573","133,009",23,"5,783","4,019","1,764"
LULU,Lululemon Athletica Inc,"63,292","65,267","128,559",23,"5,590","2,752","2,838"
CVX,Chevron Corp,"71,270","56,425","127,695",23,"5,552","3,099","2,453"
CLF,Cliffs Natural Resources Inc,"79,961","39,939","119,900",23,"5,213","3,477","1,736"
CMCSA,Comcast Corp,"80,680","37,542","118,222",23,"5,140","3,508","1,632"
BA,Boeing Co/The,"48,980","65,201","114,181",23,"4,964","2,130","2,835"
VZ,Verizon Communications Inc,"65,254","47,248","112,502",23,"4,891","2,837","2,054"
IBM,International Business Machines Corp,"62,081","49,777","111,858",23,"4,863","2,699","2,164"
WFT,Weatherford International PLC,"92,113","19,651","111,764",23,"4,859","4,005",854
MNKD,MannKind Corp,"108,697",382,"109,079",23,"4,743","4,726",17
QCOM,QUALCOMM Inc,"78,392","30,041","108,433",23,"4,714","3,408","1,306"
CMG,Chipotle Mexican Grill Inc,"54,991","52,262","107,253",23,"4,663","2,391","2,272"
WYNN,Wynn Resorts Ltd,"70,691","35,201","105,892",23,"4,604","3,074","1,530"
WMT,Wal-Mart Stores Inc,"60,761","43,648","104,409",23,"4,540","2,642","1,898"
FDX,FedEx Corp,"48,585","54,388","102,973",23,"4,477","2,112","2,365"
MS,Morgan Stanley,"53,084","46,788","99,872",23,"4,342","2,308","2,034"
MYL,Mylan NV,"46,808","52,717","99,525",23,"4,327","2,035","2,292"
WDC,Western Digital Corp,"65,240","31,989","97,229",23,"4,227","2,837","1,391"
COST,Costco Wholesale Corp,"39,093","56,425","95,518",23,"4,153","1,700","2,453"
MGM,MGM Resorts International,"77,265","17,486","94,751",23,"4,120","3,359",760
AMGN,Amgen Inc,"49,398","44,844","94,242",23,"4,097","2,148","1,950"
KO,Coca-Cola Co/The,"75,346","17,864","93,210",23,"4,053","3,276",777
ABBV,AbbVie Inc,"58,216","33,287","91,503",23,"3,978","2,531","1,447"
YHOO,Yahoo! Inc,"65,897","24,827","90,724",23,"3,945","2,865","1,079"
PAY,VeriFone Systems Inc,"59,577","30,823","90,400",23,"3,930","2,590","1,340"
CELG,Celgene Corp,"60,267","29,103","89,370",23,"3,886","2,620","1,265"
HD,Home Depot Inc/The,"40,138","44,596","84,734",23,"3,684","1,745","1,939"
MRO,Marathon Oil Corp,"55,244","28,182","83,426",23,"3,627","2,402","1,225"
AA,Alcoa Corp,"53,280","27,907","81,187",23,"3,530","2,317","1,213"
MBLY,Mobileye NV,"56,782","22,864","79,646",23,"3,463","2,469",994
AKS,AK Steel Holding Corp,"51,155","28,292","79,447",23,"3,454","2,224","1,230"
JNJ,Johnson & Johnson,"42,439","36,702","79,141",23,"3,441","1,845","1,596"
PANW,Palo Alto Networks Inc,"45,685","33,168","78,853",23,"3,428","1,986","1,442"
HAL,Halliburton Co,"40,643","36,676","77,319",23,"3,362","1,767","1,595"
COP,ConocoPhillips,"53,890","23,038","76,928",23,"3,345","2,343","1,002"
RIG,Transocean Ltd,"49,751","25,574","75,325",23,"3,275","2,163","1,112"
ACIW,ACI Worldwide Inc,"25,083","50,065","75,148",23,"3,267","1,091","2,177"
ULTA,Ulta Beauty Inc,"34,510","39,048","73,558",23,"3,198","1,500","1,698"
AIG,American International Group Inc,"41,585","31,961","73,546",23,"3,198","1,808","1,390"
DB,Deutsche Bank AG,"40,580","32,947","73,527",23,"3,197","1,764","1,432"
AXP,American Express Co,"32,037","38,869","70,906",23,"3,083","1,393","1,690"
AGN,Allergan PLC,"41,391","28,825","70,216",23,"3,053","1,800","1,253"
V,Visa Inc,"44,465","25,569","70,034",23,"3,045","1,933","1,112"
TEVA,Teva Pharmaceutical Industries Ltd,"38,379","31,228","69,607",23,"3,026","1,669","1,358"
M,Macy's Inc,"41,683","27,753","69,436",23,"3,019","1,812","1,207"
GG,Goldcorp Inc,"34,322","34,784","69,106",23,"3,005","1,492","1,512"
JD,JD.com Inc,"51,159","17,027","68,186",23,"2,965","2,224",740
PBR,Petroleo Brasileiro SA,"40,997","27,024","68,021",23,"2,957","1,782","1,175"
AVGO,Broadcom Ltd,"38,547","26,258","64,805",23,"2,818","1,676","1,142"
USB,US Bancorp,"33,127","31,265","64,392",23,"2,800","1,440","1,359"
GALE,Galena Biopharma Inc,"63,928",259,"64,187",23,"2,791","2,779",11
LVS,Las Vegas Sands Corp,"42,648","20,868","63,516",23,"2,762","1,854",907
BP,BP PLC,"48,958","14,145","63,103",23,"2,744","2,129",615
GME,GameStop Corp,"22,320","39,189","61,509",23,"2,674",970,"1,704"
BIDU,Baidu Inc,"33,555","27,916","61,471",23,"2,673","1,459","1,214"
BBY,Best Buy Co Inc,"34,592","26,240","60,832",23,"2,645","1,504","1,141"
BX,Blackstone Group LP/The,"35,223","25,328","60,551",23,"2,633","1,531","1,101"
FTR,Frontier Communications Corp,"41,480","17,404","58,884",23,"2,560","1,803",757
SLB,Schlumberger Ltd,"33,555","25,070","58,625",23,"2,549","1,459","1,090"
CSX,CSX Corp,"29,996","28,216","58,212",23,"2,531","1,304","1,227"
NEM,Newmont Mining Corp,"23,907","33,980","57,887",23,"2,517","1,039","1,477"
MRK,Merck & Co Inc,"40,710","17,016","57,726",23,"2,510","1,770",740
MO,Altria Group Inc,"32,417","25,145","57,562",23,"2,503","1,409","1,093"
TXN,Texas Instruments Inc,"30,962","25,418","56,380",23,"2,451","1,346","1,105"
OCLR,Oclaro Inc,"37,782","18,564","56,346",23,"2,450","1,643",807
AMAT,Applied Materials Inc,"40,668","14,938","55,606",23,"2,418","1,768",649
KMI,Kinder Morgan Inc/DE,"44,556","10,935","55,491",23,"2,413","1,937",475
UAL,United Continental Holdings Inc,"31,182","23,664","54,846",23,"2,385","1,356","1,029"
SLW,Silver Wheaton Corp,"37,009","17,691","54,700",23,"2,378","1,609",769
DOW,Dow Chemical Co/The,"33,371","21,101","54,472",23,"2,368","1,451",917
BBRY,BlackBerry Ltd,"40,012","13,933","53,945",23,"2,345","1,740",606
APC,Anadarko Petroleum Corp,"32,330","20,250","52,580",23,"2,286","1,406",880
MPC,Marathon Petroleum Corp,"40,007","12,492","52,499",23,"2,283","1,739",543
SHLD,Sears Holdings Corp,"24,124","27,812","51,936",23,"2,258","1,049","1,209"
KATE,Kate Spade & Co,"24,943","26,345","51,288",23,"2,230","1,084","1,145"
LOW,Lowe's Cos Inc,"33,141","17,879","51,020",23,"2,218","1,441",777
MCD,McDonald's Corp,"26,904","23,621","50,525",23,"2,197","1,170","1,027"
PG,Procter & Gamble Co/The,"24,979","25,205","50,184",23,"2,182","1,086","1,096"
SAN,Banco Santander SA,"26,378","23,541","49,919",23,"2,170","1,147","1,024"
GPRO,GoPro Inc,"24,788","24,909","49,697",23,"2,161","1,078","1,083"
HPE,Hewlett Packard Enterprise Co,"41,755","7,838","49,593",23,"2,156","1,815",341
STX,Seagate Technology PLC,"28,802","19,677","48,479",23,"2,108","1,252",856
UPS,United Parcel Service Inc,"24,097","24,174","48,271",23,"2,099","1,048","1,051"
KR,Kroger Co/The,"21,521","25,743","47,264",23,"2,055",936,"1,119"
MDLZ,Mondelez International Inc,"22,764","24,446","47,210",23,"2,053",990,"1,063"
NTES,NetEase Inc,"18,169","28,759","46,928",23,"2,040",790,"1,250"
P,Pandora Media Inc,"34,386","12,322","46,708",23,"2,031","1,495",536
VLO,Valero Energy Corp,"26,100","19,796","45,896",23,"1,995","1,135",861
ESRX,Express Scripts Holding Co,"14,565","31,245","45,810",23,"1,992",633,"1,358"
MOS,Mosaic Co/The,"24,909","20,781","45,690",23,"1,987","1,083",904
AET,Aetna Inc,"24,272","21,138","45,410",23,"1,974","1,055",919
REGN,Regeneron Pharmaceuticals Inc,"22,259","22,988","45,247",23,"1,967",968,999
ANF,Abercrombie & Fitch Co,"16,205","27,626","43,831",23,"1,906",705,"1,201"
WLL,Whiting Petroleum Corp,"29,522","14,078","43,600",23,"1,896","1,284",612
MRVL,Marvell Technology Group Ltd,"33,623","9,946","43,569",23,"1,894","1,462",432
CIEN,Ciena Corp,"31,517","11,391","42,908",23,"1,866","1,370",495
TWLO,Twilio Inc,"30,683","11,958","42,641",23,"1,854","1,334",520
HL,Hecla Mining Co,"38,832","3,807","42,639",23,"1,854","1,688",166
SWN,Southwestern Energy Co,"23,778","17,699","41,477",23,"1,803","1,034",770
FEYE,FireEye Inc,"31,095","10,099","41,194",23,"1,791","1,352",439
UAA,Under Armour Inc,"25,409","15,768","41,177",23,"1,790","1,105",686
ESV,Ensco PLC,"33,578","7,207","40,785",23,"1,773","1,460",313
DKS,Dick's Sporting Goods Inc,"20,691","18,088","38,779",23,"1,686",900,786
SCHW,Charles Schwab Corp/The,"21,388","17,197","38,585",23,"1,678",930,748
CVS,CVS Health Corp,"19,375","19,029","38,404",23,"1,670",842,827
S,Sprint Corp,"24,176","13,819","37,995",23,"1,652","1,051",601
WFM,Whole Foods Market Inc,"23,194","14,662","37,856",23,"1,646","1,008",637
ATVI,Activision Blizzard Inc,"19,485","17,894","37,379",23,"1,625",847,778
LUV,Southwest Airlines Co,"20,204","17,152","37,356",23,"1,624",878,746
DVN,Devon Energy Corp,"20,842","16,049","36,891",23,"1,604",906,698
AXDX,Accelerate Diagnostics Inc,"1,116","35,696","36,812",23,"1,601",49,"1,552"
PYPL,PayPal Holdings Inc,"23,959","12,814","36,773",23,"1,599","1,042",557
