Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV
ABX,Barrick Gold Corp,"72,479","26,348","98,827",21,"4,706","3,451","1,255"
KO,Coca-Cola Co/The,"68,583","29,480","98,063",21,"4,670","3,266","1,404"
CAT,Caterpillar Inc,"42,097","52,940","95,037",21,"4,526","2,005","2,521"
WDC,Western Digital Corp,"49,785","44,049","93,834",21,"4,468","2,371","2,098"
V,Visa Inc,"52,220","40,383","92,603",21,"4,410","2,487","1,923"
UAL,United Continental Holdings Inc,"66,239","25,217","91,456",21,"4,355","3,154","1,201"
ATVI,Activision Blizzard Inc,"50,703","39,228","89,931",21,"4,282","2,414","1,868"
VALE,Vale SA,"58,437","30,710","89,147",21,"4,245","2,783","1,462"
JNJ,Johnson & Johnson,"70,020","16,962","86,982",21,"4,142","3,334",808
PBR,Petroleo Brasileiro SA,"59,923","26,310","86,233",21,"4,106","2,853","1,253"
APC,Anadarko Petroleum Corp,"59,365","23,568","82,933",21,"3,949","2,827","1,122"
CTL,CenturyLink Inc,"41,309","37,912","79,221",21,"3,772","1,967","1,805"
MGM,MGM Resorts International,"41,581","37,561","79,142",21,"3,769","1,980","1,789"
AAL,American Airlines Group Inc,"53,034","26,103","79,137",21,"3,768","2,525","1,243"
ORCL,Oracle Corp,"53,380","24,879","78,259",21,"3,727","2,542","1,185"
SLB,Schlumberger Ltd,"52,341","24,179","76,520",21,"3,644","2,492","1,151"
CVX,Chevron Corp,"45,246","30,557","75,803",21,"3,610","2,155","1,455"
SN,Sanchez Energy Corp,"9,400","65,463","74,863",21,"3,565",448,"3,117"
HIMX,Himax Technologies Inc,"46,270","27,379","73,649",21,"3,507","2,203","1,304"
MRK,Merck & Co Inc,"51,026","22,224","73,250",21,"3,488","2,430","1,058"
LOW,Lowe's Cos Inc,"41,221","31,099","72,320",21,"3,444","1,963","1,481"
CVS,CVS Health Corp,"36,701","34,329","71,030",21,"3,382","1,748","1,635"
NKE,NIKE Inc,"39,904","30,478","70,382",21,"3,352","1,900","1,451"
DAL,Delta Air Lines Inc,"46,801","23,452","70,253",21,"3,345","2,229","1,117"
AKS,AK Steel Holding Corp,"50,006","19,447","69,453",21,"3,307","2,381",926
AGN,Allergan PLC,"37,639","30,924","68,563",21,"3,265","1,792","1,473"
GOOG,Alphabet Inc,"37,842","30,567","68,409",21,"3,258","1,802","1,456"
AVGO,Broadcom Ltd,"39,402","28,725","68,127",21,"3,244","1,876","1,368"
MS,Morgan Stanley,"43,663","23,699","67,362",21,"3,208","2,079","1,129"
MDLZ,Mondelez International Inc,"26,719","37,752","64,471",21,"3,070","1,272","1,798"
NEM,Newmont Mining Corp,"38,959","24,078","63,037",21,"3,002","1,855","1,147"
COP,ConocoPhillips,"36,922","25,739","62,661",21,"2,984","1,758","1,226"
BMY,Bristol-Myers Squibb Co,"32,822","29,353","62,175",21,"2,961","1,563","1,398"
HAL,Halliburton Co,"38,769","23,208","61,977",21,"2,951","1,846","1,105"
AIG,American International Group Inc,"36,332","23,536","59,868",21,"2,851","1,730","1,121"
S,Sprint Corp,"34,278","25,547","59,825",21,"2,849","1,632","1,217"
LB,L Brands Inc,"32,179","27,560","59,739",21,"2,845","1,532","1,312"
AAOI,Applied Optoelectronics Inc,"21,934","36,945","58,879",21,"2,804","1,044","1,759"
MCD,McDonald's Corp,"31,128","27,142","58,270",21,"2,775","1,482","1,292"
OSTK,Overstock.com Inc,"39,015","19,081","58,096",21,"2,766","1,858",909
NTES,NetEase Inc,"37,224","20,810","58,034",21,"2,764","1,773",991
GME,GameStop Corp,"20,776","36,949","57,725",21,"2,749",989,"1,759"
TRIP,TripAdvisor Inc,"27,265","30,398","57,663",21,"2,746","1,298","1,448"
BBY,Best Buy Co Inc,"31,778","25,178","56,956",21,"2,712","1,513","1,199"
ADBE,Adobe Systems Inc,"25,058","31,658","56,716",21,"2,701","1,193","1,508"
DE,Deere & Co,"31,403","24,529","55,932",21,"2,663","1,495","1,168"
WYNN,Wynn Resorts Ltd,"32,105","23,537","55,642",21,"2,650","1,529","1,121"
PANW,Palo Alto Networks Inc,"31,896","23,295","55,191",21,"2,628","1,519","1,109"
SWKS,Skyworks Solutions Inc,"22,463","32,404","54,867",21,"2,613","1,070","1,543"
MOMO,Momo Inc,"35,552","18,699","54,251",21,"2,583","1,693",890
CLF,Cleveland-Cliffs Inc,"38,851","15,345","54,196",21,"2,581","1,850",731
MARA,Marathon Patent Group Inc,"41,017","12,285","53,302",21,"2,538","1,953",585
EA,Electronic Arts Inc,"29,902","23,337","53,239",21,"2,535","1,424","1,111"
MA,Mastercard Inc,"25,574","27,488","53,062",21,"2,527","1,218","1,309"
FL,Foot Locker Inc,"23,118","27,194","50,312",21,"2,396","1,101","1,295"
HBI,Hanesbrands Inc,"44,070","6,174","50,244",21,"2,393","2,099",294
CSX,CSX Corp,"29,867","19,940","49,807",21,"2,372","1,422",950
SHLD,Sears Holdings Corp,"27,967","21,677","49,644",21,"2,364","1,332","1,032"
DKS,Dick's Sporting Goods Inc,"25,124","24,286","49,410",21,"2,353","1,196","1,156"
UPS,United Parcel Service Inc,"31,613","17,010","48,623",21,"2,315","1,505",810
OCLR,Oclaro Inc,"26,072","21,875","47,947",21,"2,283","1,242","1,042"
GG,Goldcorp Inc,"27,122","20,417","47,539",21,"2,264","1,292",972
WFT,Weatherford International PLC,"34,945","12,464","47,409",21,"2,258","1,664",594
RAD,Rite Aid Corp,"37,035","10,329","47,364",21,"2,255","1,764",492
ADSK,Autodesk Inc,"21,652","24,977","46,629",21,"2,220","1,031","1,189"
KSS,Kohl's Corp,"30,187","16,395","46,582",21,"2,218","1,437",781
LRCX,Lam Research Corp,"25,060","20,495","45,555",21,"2,169","1,193",976
PTCT,PTC Therapeutics Inc,397,"44,403","44,800",21,"2,133",19,"2,114"
BP,BP PLC,"27,938","16,320","44,258",21,"2,108","1,330",777
RIG,Transocean Ltd,"24,575","19,683","44,258",21,"2,108","1,170",937
SCHW,Charles Schwab Corp/The,"19,916","23,823","43,739",21,"2,083",948,"1,134"
FEYE,FireEye Inc,"31,981","10,645","42,626",21,"2,030","1,523",507
UAA,Under Armour Inc,"27,691","14,198","41,889",21,"1,995","1,319",676
WLL,Whiting Petroleum Corp,"26,880","14,155","41,035",21,"1,954","1,280",674
NRG,NRG Energy Inc,"33,113","7,824","40,937",21,"1,949","1,577",373
FIT,Fitbit Inc,"28,019","12,580","40,599",21,"1,933","1,334",599
FSLR,First Solar Inc,"23,044","17,434","40,478",21,"1,928","1,097",830
NAK,Northern Dynasty Minerals Ltd,"36,834","3,599","40,433",21,"1,925","1,754",171
MBI,MBIA Inc,"33,731","5,812","39,543",21,"1,883","1,606",277
MAT,Mattel Inc,"23,482","15,945","39,427",21,"1,877","1,118",759
GPRO,GoPro Inc,"21,139","17,870","39,009",21,"1,858","1,007",851
P,Pandora Media Inc,"25,553","13,433","38,986",21,"1,856","1,217",640
PG,Procter & Gamble Co/The,"22,407","16,547","38,954",21,"1,855","1,067",788
JNPR,Juniper Networks Inc,"31,447","7,149","38,596",21,"1,838","1,497",340
DWDP,DowDuPont Inc,"28,564","9,751","38,315",21,"1,825","1,360",464
KMI,Kinder Morgan Inc/DE,"22,136","15,847","37,983",21,"1,809","1,054",755
STX,Seagate Technology PLC,"22,696","15,241","37,937",21,"1,807","1,081",726
LUV,Southwest Airlines Co,"23,572","13,817","37,389",21,"1,780","1,122",658
ETP,Energy Transfer Partners LP,"28,137","9,250","37,387",21,"1,780","1,340",440
FDX,FedEx Corp,"22,182","14,667","36,849",21,"1,755","1,056",698
GLW,Corning Inc,"31,292","5,384","36,676",21,"1,746","1,490",256
HTZ,Hertz Global Holdings Inc,"19,244","17,295","36,539",21,"1,740",916,824
GPS,Gap Inc/The,"16,158","19,851","36,009",21,"1,715",769,945
BB,BlackBerry Ltd,"32,516","3,407","35,923",21,"1,711","1,548",162
MRVL,Marvell Technology Group Ltd,"24,703","11,151","35,854",21,"1,707","1,176",531
SHOP,Shopify Inc,"23,188","12,399","35,587",21,"1,695","1,104",590
AXP,American Express Co,"13,597","21,186","34,783",21,"1,656",647,"1,009"
SWN,Southwestern Energy Co,"28,441","6,340","34,781",21,"1,656","1,354",302
EBAY,eBay Inc,"19,546","15,104","34,650",21,"1,650",931,719
GGP,GGP Inc,"12,781","21,505","34,286",21,"1,633",609,"1,024"
K,Kellogg Co,"16,628","17,039","33,667",21,"1,603",792,811
MOS,Mosaic Co/The,"26,803","6,839","33,642",21,"1,602","1,276",326
AMGN,Amgen Inc,"17,761","15,613","33,374",21,"1,589",846,743
OLED,Universal Display Corp,"20,042","13,146","33,188",21,"1,580",954,626
LVS,Las Vegas Sands Corp,"18,506","14,428","32,934",21,"1,568",881,687
HPQ,HP Inc,"23,455","9,226","32,681",21,"1,556","1,117",439
MO,Altria Group Inc,"18,799","12,427","31,226",21,"1,487",895,592
ABBV,AbbVie Inc,"18,609","12,411","31,020",21,"1,477",886,591
TMUS,T-Mobile US Inc,"15,027","15,955","30,982",21,"1,475",716,760
OXY,Occidental Petroleum Corp,"20,609","9,982","30,591",21,"1,457",981,475
EXPE,Expedia Inc,"15,359","15,206","30,565",21,"1,455",731,724
UNH,UnitedHealth Group Inc,"17,409","12,948","30,357",21,"1,446",829,617
DDD,3D Systems Corp,"17,197","13,039","30,236",21,"1,440",819,621
VIAB,Viacom Inc,"14,399","15,552","29,951",21,"1,426",686,741
DVN,Devon Energy Corp,"15,036","14,632","29,668",21,"1,413",716,697
ULTA,Ulta Beauty Inc,"14,602","15,059","29,661",21,"1,412",695,717
REGN,Regeneron Pharmaceuticals Inc,"16,448","13,078","29,526",21,"1,406",783,623
HZNP,Horizon Pharma Plc,"11,263","18,200","29,463",21,"1,403",536,867
DHI,DR Horton Inc,"17,548","11,893","29,441",21,"1,402",836,566
NXPI,NXP Semiconductors NV,"14,439","14,976","29,415",21,"1,401",688,713
PEP,PepsiCo Inc,"22,044","7,321","29,365",21,"1,398","1,050",349
AA,Alcoa Corp,"14,896","14,199","29,095",21,"1,385",709,676
WB,Weibo Corp,"19,898","8,700","28,598",21,"1,362",948,414
ETE,Energy Transfer Equity LP,"13,462","15,027","28,489",21,"1,357",641,716
SPLK,Splunk Inc,"20,793","7,627","28,420",21,"1,353",990,363
TXN,Texas Instruments Inc,"16,055","11,922","27,977",21,"1,332",765,568
TWLO,Twilio Inc,"18,365","9,439","27,804",21,"1,324",875,449
JWN,Nordstrom Inc,"15,261","12,239","27,500",21,"1,310",727,583
MDT,Medtronic PLC,"13,075","14,289","27,364",21,"1,303",623,680
BX,Blackstone Group LP/The,"18,466","8,877","27,343",21,"1,302",879,423
VLO,Valero Energy Corp,"19,286","7,991","27,277",21,"1,299",918,381
YY,YY Inc,"17,464","9,462","26,926",21,"1,282",832,451
MET,MetLife Inc,"13,878","12,941","26,819",21,"1,277",661,616
TJX,TJX Cos Inc/The,"15,061","11,612","26,673",21,"1,270",717,553
SYF,Synchrony Financial,"17,533","8,638","26,171",21,"1,246",835,411
ANF,Abercrombie & Fitch Co,"14,138","11,887","26,025",21,"1,239",673,566
BUD,Anheuser-Busch InBev SA/NV,"12,005","13,904","25,909",21,"1,234",572,662
KORS,Michael Kors Holdings Ltd,"11,216","14,491","25,707",21,"1,224",534,690
BRKB,Berkshire Hathaway Inc,"18,937","6,743","25,680",21,"1,223",902,321
AET,Aetna Inc,"16,252","9,352","25,604",21,"1,219",774,445
RRC,Range Resources Corp,"20,067","5,445","25,512",21,"1,215",956,259
SIG,Signet Jewelers Ltd,"8,056","17,083","25,139",21,"1,197",384,813
UNIT,Uniti Group Inc,"15,692","9,340","25,032",21,"1,192",747,445
DLTR,Dollar Tree Inc,"14,182","10,543","24,725",21,"1,177",675,502
ETFC,E*TRADE Financial Corp,"22,358","2,249","24,607",21,"1,172","1,065",107
NWL,Newell Brands Inc,"11,582","12,983","24,565",21,"1,170",552,618
CIEN,Ciena Corp,"15,609","8,928","24,537",21,"1,168",743,425
BIIB,Biogen Inc,"12,583","11,941","24,524",21,"1,168",599,569
LULU,Lululemon Athletica Inc,"14,672","9,778","24,450",21,"1,164",699,466
XNET,Xunlei Ltd,"15,212","9,138","24,350",21,"1,160",724,435
CBI,Chicago Bridge & Iron Co NV,"15,928","7,634","23,562",21,"1,122",758,364
MAR,Marriott International Inc/MD,"13,327","9,966","23,293",21,"1,109",635,475
BZUN,Baozun Inc,"17,609","5,596","23,205",21,"1,105",839,266
TIF,Tiffany & Co,"11,596","11,583","23,179",21,"1,104",552,552
LNG,Cheniere Energy Inc,"15,095","8,055","23,150",21,"1,102",719,384
HLF,Herbalife Ltd,"9,594","13,480","23,074",21,"1,099",457,642
CF,CF Industries Holdings Inc,"11,269","11,720","22,989",21,"1,095",537,558
NTNX,Nutanix Inc,"17,350","5,413","22,763",21,"1,084",826,258
HPE,Hewlett Packard Enterprise Co,"15,378","7,309","22,687",21,"1,080",732,348
ALB,Albemarle Corp,"12,993","9,650","22,643",21,"1,078",619,460
FTR,Frontier Communications Corp,"12,428","10,157","22,585",21,"1,075",592,484
UNP,Union Pacific Corp,"15,202","7,339","22,541",21,"1,073",724,349
APA,Apache Corp,"15,872","6,610","22,482",21,"1,071",756,315
WDAY,Workday Inc,"12,982","9,410","22,392",21,"1,066",618,448
CAR,Avis Budget Group Inc,"9,043","13,219","22,262",21,"1,060",431,629
RH,RH,"10,199","12,000","22,199",21,"1,057",486,571
BSX,Boston Scientific Corp,"5,383","16,635","22,018",21,"1,048",256,792
EMR,Emerson Electric Co,"17,151","4,770","21,921",21,"1,044",817,227
COG,Cabot Oil & Gas Corp,"13,501","8,388","21,889",21,"1,042",643,399
CY,Cypress Semiconductor Corp,"19,555","2,290","21,845",21,"1,040",931,109
JACK,Jack in the Box Inc,"13,574","8,007","21,581",21,"1,028",646,381
OPK,OPKO Health Inc,"14,241","7,285","21,526",21,"1,025",678,347
WPM,Wheaton Precious Metals Corp,"15,868","5,648","21,516",21,"1,025",756,269
MMM,3M Co,"11,400","9,829","21,229",21,"1,011",543,468
WBA,Walgreens Boots Alliance Inc,"12,014","9,132","21,146",21,"1,007",572,435
W,Wayfair Inc,"9,670","11,471","21,141",21,"1,007",460,546
MYL,Mylan NV,"10,675","10,465","21,140",21,"1,007",508,498
UA,Under Armour Inc,"13,937","7,170","21,107",21,"1,005",664,341
CATM,Cardtronics PLC,"10,352","10,599","20,951",21,998,493,505
WTW,Weight Watchers International Inc,"13,260","7,650","20,910",21,996,631,364
DB,Deutsche Bank AG,"11,948","8,896","20,844",21,993,569,424
KKR,KKR & Co LP,"6,333","14,496","20,829",21,992,302,690
KHC,Kraft Heinz Co/The,"14,513","6,283","20,796",21,990,691,299
MNKD,MannKind Corp,"12,146","8,572","20,718",21,987,578,408
PM,Philip Morris International Inc,"13,386","7,169","20,555",21,979,637,341
NTAP,NetApp Inc,"12,474","8,007","20,481",21,975,594,381
MPC,Marathon Petroleum Corp,"14,013","6,412","20,425",21,973,667,305
LSXMA,Liberty Media Corp-Liberty SiriusXM,"10,023","10,341","20,364",21,970,477,492
LMT,Lockheed Martin Corp,"9,485","10,791","20,276",21,966,452,514
RCL,Royal Caribbean Cruises Ltd,"10,464","9,756","20,220",21,963,498,465
HON,Honeywell International Inc,"12,243","7,911","20,154",21,960,583,377
CTRP,Ctrip.com International Ltd,"11,164","8,958","20,122",21,958,532,427
ABT,Abbott Laboratories,"15,572","4,535","20,107",21,957,742,216
AMC,AMC Entertainment Holdings Inc,"11,276","8,826","20,102",21,957,537,420
HAIN,Hain Celestial Group Inc/The,"9,567","10,499","20,066",21,956,456,500
TTD,Trade Desk Inc/The,"11,981","8,016","19,997",21,952,571,382
GRPN,Groupon Inc,"16,735","2,943","19,678",21,937,797,140
CHRW,CH Robinson Worldwide Inc,"14,504","5,076","19,580",21,932,691,242
SYMC,Symantec Corp,"6,166","13,372","19,538",21,930,294,637
URBN,Urban Outfitters Inc,"11,889","7,628","19,517",21,929,566,363
OAS,Oasis Petroleum Inc,"16,292","2,750","19,042",21,907,776,131
YELP,Yelp Inc,"12,201","6,790","18,991",21,904,581,323
HES,Hess Corp,"13,104","5,860","18,964",21,903,624,279
GIS,General Mills Inc,"9,476","9,252","18,728",21,892,451,441
ADI,Analog Devices Inc,"12,970","5,702","18,672",21,889,618,272
USB,US Bancorp,"12,741","5,906","18,647",21,888,607,281
SGYP,Synergy Pharmaceuticals Inc,"14,697","3,903","18,600",21,886,700,186
EPD,Enterprise Products Partners LP,"12,525","6,001","18,526",21,882,596,286
DISH,DISH Network Corp,"10,250","8,002","18,252",21,869,488,381
LC,LendingClub Corp,"15,703","2,503","18,206",21,867,748,119
APRN,Blue Apron Holdings Inc,"8,047","10,134","18,181",21,866,383,483
AMBA,Ambarella Inc,"10,927","7,242","18,169",21,865,520,345
ZNGA,Zynga Inc,"8,888","9,273","18,161",21,865,423,442
MNST,Monster Beverage Corp,"11,360","6,674","18,034",21,859,541,318
LITE,Lumentum Holdings Inc,"13,015","4,987","18,002",21,857,620,237
MT,ArcelorMittal,"15,680","2,312","17,992",21,857,747,110
CME,CME Group Inc,"14,993","2,947","17,940",21,854,714,140
BBBY,Bed Bath & Beyond Inc,"14,020","3,873","17,893",21,852,668,184
CCL,Carnival Corp,"6,083","11,766","17,849",21,850,290,560
FNSR,Finisar Corp,"7,197","10,616","17,813",21,848,343,506
EFX,Equifax Inc,"6,290","11,443","17,733",21,844,300,545
PAA,Plains All American Pipeline LP,"8,418","9,285","17,703",21,843,401,442
VMW,VMware Inc,"9,666","7,887","17,553",21,836,460,376
TTWO,Take-Two Interactive Software Inc,"11,547","5,986","17,533",21,835,550,285
COF,Capital One Financial Corp,"8,346","9,175","17,521",21,834,397,437
TPR,Tapestry Inc,"5,583","11,828","17,411",21,829,266,563
SRPT,Sarepta Therapeutics Inc,"12,063","5,321","17,384",21,828,574,253
TSN,Tyson Foods Inc,"12,844","4,398","17,242",21,821,612,209
DO,Diamond Offshore Drilling Inc,"8,033","9,096","17,129",21,816,383,433
HSBC,HSBC Holdings PLC,"10,675","6,249","16,924",21,806,508,298
ESV,Ensco PLC,"13,518","3,376","16,894",21,804,644,161
RDSA,Royal Dutch Shell,"12,921","3,905","16,826",21,801,615,186
CMI,Cummins Inc,"7,755","9,067","16,822",21,801,369,432
TAL,TAL Education Group,"10,074","6,567","16,641",21,792,480,313
DDS,Dillard's Inc,"7,685","8,857","16,542",21,788,366,422
NBR,Nabors Industries Ltd,"13,287","3,250","16,537",21,787,633,155
AZN,AstraZeneca PLC,"4,536","11,996","16,532",21,787,216,571
MNK,Mallinckrodt PLC,"5,704","10,803","16,507",21,786,272,514
YNDX,Yandex NV,"10,838","5,650","16,488",21,785,516,269
JUNO,Juno Therapeutics Inc,"13,393","3,011","16,404",21,781,638,143
CZR,Caesars Entertainment Corp,"13,859","2,380","16,239",21,773,660,113
RTN,Raytheon Co,"8,599","7,623","16,222",21,772,409,363
PXD,Pioneer Natural Resources Co,"10,607","5,603","16,210",21,772,505,267
SLCA,US Silica Holdings Inc,"9,887","6,247","16,134",21,768,471,297
PI,Impinj Inc,"3,218","12,914","16,132",21,768,153,615
MAC,Macerich Co/The,"14,111","1,876","15,987",21,761,672,89
VIPS,Vipshop Holdings Ltd,"12,718","3,225","15,943",21,759,606,154
CLR,Continental Resources Inc/OK,"7,134","8,777","15,911",21,758,340,418
SU,Suncor Energy Inc,"13,563","2,320","15,883",21,756,646,110
AAP,Advance Auto Parts Inc,"8,307","7,547","15,854",21,755,396,359
FOXA,Twenty-First Century Fox Inc,"10,274","5,540","15,814",21,753,489,264
VOD,Vodafone Group PLC,"12,561","3,185","15,746",21,750,598,152
ISRG,Intuitive Surgical Inc,"8,301","7,376","15,677",21,747,395,351
COTY,Coty Inc,"12,157","3,514","15,671",21,746,579,167
WEN,Wendy's Co/The,"12,146","3,459","15,605",21,743,578,165
RGC,Regal Entertainment Group,"12,418","3,101","15,519",21,739,591,148
THO,Thor Industries Inc,"11,553","3,785","15,338",21,730,550,180
RHT,Red Hat Inc,"7,889","7,350","15,239",21,726,376,350
UTX,United Technologies Corp,"9,668","5,491","15,159",21,722,460,261
DPZ,Domino's Pizza Inc,"7,062","7,922","14,984",21,714,336,377
SINA,SINA Corp/China,"10,028","4,843","14,871",21,708,478,231
CTSH,Cognizant Technology Solutions Corp,"7,344","7,472","14,816",21,706,350,356
ENDP,Endo International PLC,"7,763","6,796","14,559",21,693,370,324
PHM,PulteGroup Inc,"10,177","4,366","14,543",21,693,485,208
EOG,EOG Resources Inc,"9,416","4,962","14,378",21,685,448,236
PSEC,Prospect Capital Corp,"11,716","2,588","14,304",21,681,558,123
BITA,Bitauto Holdings Ltd,"10,196","4,059","14,255",21,679,486,193
TECK,Teck Resources Ltd,"7,681","6,544","14,225",21,677,366,312
CBL,CBL & Associates Properties Inc,"2,828","11,336","14,164",21,674,135,540
ANET,Arista Networks Inc,"8,067","6,019","14,086",21,671,384,287
AXTA,Axalta Coating Systems Ltd,"10,745","3,331","14,076",21,670,512,159
SAVE,Spirit Airlines Inc,"8,876","5,193","14,069",21,670,423,247
NE,Noble Corp plc,"10,454","3,563","14,017",21,667,498,170
CBOE,Cboe Global Markets Inc,"9,381","4,599","13,980",21,666,447,219
KGC,Kinross Gold Corp,"4,754","9,181","13,935",21,664,226,437
NUAN,Nuance Communications Inc,"11,533","2,207","13,740",21,654,549,105
JBLU,JetBlue Airways Corp,"9,880","3,742","13,622",21,649,470,178
ICE,Intercontinental Exchange Inc,"11,534","2,057","13,591",21,647,549,98
ESRX,Express Scripts Holding Co,"7,395","6,152","13,547",21,645,352,293
HCC,Warrior Met Coal Inc,"3,336","10,186","13,522",21,644,159,485
MON,Monsanto Co,"10,860","2,654","13,514",21,644,517,126
DG,Dollar General Corp,"6,851","6,659","13,510",21,643,326,317
THC,Tenet Healthcare Corp,"5,365","8,106","13,471",21,641,255,386
RCII,Rent-A-Center Inc/TX,"7,230","6,177","13,407",21,638,344,294
SGMO,Sangamo Therapeutics Inc,"6,366","7,033","13,399",21,638,303,335
AG,First Majestic Silver Corp,"8,955","4,399","13,354",21,636,426,209
AEO,American Eagle Outfitters Inc,"10,683","2,658","13,341",21,635,509,127
WMB,Williams Cos Inc/The,"5,436","7,809","13,245",21,631,259,372
