Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV
AAPL,Apple Inc,"1,363,974","768,644","2,132,618",21,"101,553","64,951","36,602"
BAC,Bank of America Corp,"1,110,418","375,430","1,485,848",21,"70,755","52,877","17,878"
FB,Facebook Inc,"680,834","383,394","1,064,228",21,"50,678","32,421","18,257"
GE,General Electric Co,"553,405","457,829","1,011,234",21,"48,154","26,353","21,801"
MU,Micron Technology Inc,"629,346","274,968","904,314",21,"43,063","29,969","13,094"
BABA,Alibaba Group Holding Ltd,"569,544","316,882","886,426",21,"42,211","27,121","15,090"
T,AT&T Inc,"383,786","253,799","637,585",21,"30,361","18,276","12,086"
TSLA,Tesla Inc,"307,215","288,296","595,511",21,"28,358","14,629","13,728"
NVDA,NVIDIA Corp,"329,310","260,492","589,802",21,"28,086","15,681","12,404"
AMD,Advanced Micro Devices Inc,"409,282","153,760","563,042",21,"26,812","19,490","7,322"
AMZN,Amazon.com Inc,"296,347","251,934","548,281",21,"26,109","14,112","11,997"
NFLX,Netflix Inc,"251,833","172,093","423,926",21,"20,187","11,992","8,195"
INTC,Intel Corp,"277,179","142,555","419,734",21,"19,987","13,199","6,788"
JD,JD.com Inc,"286,478","106,580","393,058",21,"18,717","13,642","5,075"
SNAP,Snap Inc,"178,876","190,698","369,574",21,"17,599","8,518","9,081"
MSFT,Microsoft Corp,"218,222","150,359","368,581",21,"17,551","10,392","7,160"
CSCO,Cisco Systems Inc,"234,039","114,401","348,440",21,"16,592","11,145","5,448"
QCOM,QUALCOMM Inc,"241,162","91,364","332,526",21,"15,835","11,484","4,351"
WMT,Wal-Mart Stores Inc,"216,807","111,971","328,778",21,"15,656","10,324","5,332"
SQ,Square Inc,"203,924","113,901","317,825",21,"15,135","9,711","5,424"
TWTR,Twitter Inc,"223,320","74,884","298,204",21,"14,200","10,634","3,566"
VRX,Valeant Pharmaceuticals International Inc,"205,071","86,299","291,370",21,"13,875","9,765","4,109"
JPM,JPMorgan Chase & Co,"175,536","113,088","288,624",21,"13,744","8,359","5,385"
M,Macy's Inc,"159,042","120,928","279,970",21,"13,332","7,573","5,758"
C,Citigroup Inc,"182,273","73,995","256,268",21,"12,203","8,680","3,524"
CBS,CBS Corp,"99,065","115,640","214,705",21,"10,224","4,717","5,507"
GM,General Motors Co,"143,731","68,345","212,076",21,"10,099","6,844","3,255"
TEVA,Teva Pharmaceutical Industries Ltd,"117,689","82,495","200,184",21,"9,533","5,604","3,928"
JCP,JC Penney Co Inc,"92,548","103,247","195,795",21,"9,324","4,407","4,917"
FCX,Freeport-McMoRan Inc,"130,831","58,244","189,075",21,"9,004","6,230","2,774"
HD,Home Depot Inc/The,"117,774","70,799","188,573",21,"8,980","5,608","3,371"
VZ,Verizon Communications Inc,"120,718","66,976","187,694",21,"8,938","5,748","3,189"
WFC,Wells Fargo & Co,"108,876","71,046","179,922",21,"8,568","5,185","3,383"
ROKU,Roku Inc,"96,662","79,161","175,823",21,"8,373","4,603","3,770"
X,United States Steel Corp,"110,832","63,877","174,709",21,"8,319","5,278","3,042"
UBNT,Ubiquiti Networks Inc,"86,530","86,812","173,342",21,"8,254","4,120","4,134"
DIS,Walt Disney Co/The,"84,715","82,404","167,119",21,"7,958","4,034","3,924"
AMAT,Applied Materials Inc,"96,654","64,487","161,141",21,"7,673","4,603","3,071"
SBUX,Starbucks Corp,"84,130","76,982","161,112",21,"7,672","4,006","3,666"
AABA,Altaba Inc,"121,745","32,824","154,569",21,"7,360","5,797","1,563"
SEAS,SeaWorld Entertainment Inc,"7,349","145,483","152,832",21,"7,278",350,"6,928"
MRO,Marathon Oil Corp,"135,786","14,908","150,694",21,"7,176","6,466",710
F,Ford Motor Co,"88,591","51,991","140,582",21,"6,694","4,219","2,476"
TGT,Target Corp,"84,050","54,424","138,474",21,"6,594","4,002","2,592"
PYPL,PayPal Holdings Inc,"93,140","43,414","136,554",21,"6,503","4,435","2,067"
CMCSA,Comcast Corp,"115,704","19,171","134,875",21,"6,423","5,510",913
CRM,salesforce.com Inc,"80,845","48,341","129,186",21,"6,152","3,850","2,302"
TWX,Time Warner Inc,"75,032","53,408","128,440",21,"6,116","3,573","2,543"
XOM,Exxon Mobil Corp,"68,108","60,124","128,232",21,"6,106","3,243","2,863"
GILD,Gilead Sciences Inc,"75,755","49,970","125,725",21,"5,987","3,607","2,380"
GS,Goldman Sachs Group Inc/The,"68,612","46,031","114,643",21,"5,459","3,267","2,192"
BIDU,Baidu Inc,"68,341","46,049","114,390",21,"5,447","3,254","2,193"
BA,Boeing Co/The,"59,083","54,604","113,687",21,"5,414","2,813","2,600"
CHK,Chesapeake Energy Corp,"88,931","22,300","111,231",21,"5,297","4,235","1,062"
CELG,Celgene Corp,"66,938","42,105","109,043",21,"5,193","3,188","2,005"
GOOGL,Alphabet Inc,"63,201","44,769","107,970",21,"5,141","3,010","2,132"
PCLN,Priceline Group Inc/The,"51,152","55,691","106,843",21,"5,088","2,436","2,652"
KR,Kroger Co/The,"43,962","62,367","106,329",21,"5,063","2,093","2,970"
CMG,Chipotle Mexican Grill Inc,"54,284","51,207","105,491",21,"5,023","2,585","2,438"
PFE,Pfizer Inc,"82,385","20,621","103,006",21,"4,905","3,923",982
IBM,International Business Machines Corp,"58,429","42,686","101,115",21,"4,815","2,782","2,033"
COST,Costco Wholesale Corp,"52,540","48,141","100,681",21,"4,794","2,502","2,292"
